order_id,has_customization,special_instructions,nlp_penalty_sec,packaging_overhead_sec,item_complexity_base_sec,complexity_delta_sec
415,True,"Make it extra spicy | Medium spice level | Half portion butter chicken, double naan, raita side",54,0,5,59
893,True,Separate packaging for each item | Extra chutney packets please,28,0,5,33
424,False,,0,0,5,0
896,True,Pack roti and curry separately,20,0,5,25
423,False,,0,0,5,0
1141,False,,0,0,5,0
1177,True,No spice at all please | Separate packaging for each item | Add paneer tikka as extra,70,0,5,75
1148,True,Add paneer tikka as extra,30,0,5,35
1180,True,"Make everything mild spice, pack sauces separate",54,0,5,59
1147,True,Extra cheese on top | Extra chutney packets please,26,0,5,31
911,True,"Separate dal and rice, extra papad, no pickle | Make everything mild spice, pack sauces separate",64,0,5,69
1187,False,,0,0,5,0
1189,True,Sugar free dessert | Less oil in preparation,25,0,5,30
445,True,Extra cheese on top,18,0,5,23
957,False,,0,0,5,0
449,True,No spice at all please,20,0,5,25
980,False,,0,0,5,0
1225,False,,0,0,5,0
457,False,,0,0,5,0
1227,True,Charred tandoori finish | No spice at all please,35,0,5,40
1190,False,,0,0,5,0
981,False,,0,0,5,0
1252,True,No spice at all please | Do not overcook the biryani rice,32,0,5,37
466,True,Steam instead of fry,20,0,5,25
468,False,,0,0,5,0
985,False,,0,0,5,0
1241,False,,0,0,5,0
990,False,,0,0,5,0
478,True,Steam instead of fry,20,0,5,25
1260,False,,0,0,5,0
1301,True,Separate packaging for each item,20,0,5,25
1296,False,,0,0,5,0
476,True,Medium spice level,12,0,5,17
486,True,Need extra tissue and cutlery | Add paneer tikka as extra,40,0,5,45
1282,False,,0,0,5,0
1342,True,Do not overcook the biryani rice,12,0,5,17
1345,True,No MSG please,8,0,5,13
1294,False,,0,0,5,0
484,True,Medium spice level,12,0,5,17
1062,False,,0,0,5,0
1363,True,Do not overcook the biryani rice,12,0,5,17
1066,True,Add extra butter on naan | Double wrap the paratha,25,0,5,30
491,True,Sugar free dessert,15,0,5,20
1390,True,Double wrap the paratha,15,0,5,20
1318,True,Gluten free preparation,20,0,5,25
1320,False,,0,0,5,0
499,True,Make the tikka well done | Add extra butter on naan,35,0,5,40
1092,False,,0,0,5,0
1325,True,Medium spice level | Make it extra spicy | Make the tikka well done,52,0,5,57
1332,True,Do not overcook the biryani rice | Add extra green chilli,22,0,5,27
509,True,Pack roti and curry separately,20,0,5,25
1093,True,Jain preparation no onion no garlic,60,0,5,65
1102,False,,0,0,5,0
1349,True,Medium spice level | Need extra tissue and cutlery | Extra raita on the side,34,0,5,39
1461,False,,0,0,5,0
1394,False,,0,0,5,0
1388,False,,0,0,5,0
519,False,,0,0,5,0
530,False,,0,0,5,0
1413,False,,0,0,5,0
1487,True,Make the tikka well done,25,0,5,30
1123,False,,0,0,5,0
532,True,Sugar free dessert | Extra cheese on top,33,0,5,38
1131,True,"Make everything mild spice, pack sauces separate | Use only mustard oil",64,0,5,69
1434,True,Gluten free preparation,20,0,5,25
525,False,,0,0,5,0
1466,False,,0,0,5,0
529,True,Extra cheese on top | Gluten free preparation,38,0,5,43
1174,False,,0,0,5,0
1197,True,Jain preparation no onion no garlic,60,0,5,65
543,True,Add extra green chilli,10,0,5,15
540,True,Jain preparation no onion no garlic | Double wrap the paratha,75,0,5,80
1209,False,,0,0,5,0
1522,False,,0,0,5,0
1514,True,Pack roti and curry separately,20,0,5,25
1215,False,,0,0,5,0
1552,True,Pack roti and curry separately | Gluten free preparation,40,0,5,45
557,False,,0,0,5,0
1545,True,Double wrap the paratha | Steam instead of fry,35,0,5,40
558,False,,0,0,5,0
1561,False,,0,0,5,0
1622,False,,0,0,5,0
1609,True,No spice at all please,20,0,5,25
1584,False,,0,0,5,0
578,True,Extra chutney packets please,8,0,5,13
1590,True,No spice at all please | Make it extra spicy,35,0,5,40
1598,False,,0,0,5,0
1624,False,,0,0,5,0
580,True,Jain preparation no onion no garlic,60,0,5,65
1629,True,Double wrap the paratha | Separate packaging for each item,35,0,5,40
1630,True,Charred tandoori finish | Sugar free dessert,30,0,5,35
1328,True,Make it extra spicy,15,0,5,20
1635,False,,0,0,5,0
586,False,,0,0,5,0
1623,False,,0,0,5,0
583,False,,0,0,5,0
587,True,Sugar free dessert,15,0,5,20
1640,True,Charred tandoori finish | No spice at all please | Extra raita on the side,47,0,5,52
1669,False,,0,0,5,0
1655,True,Jain preparation no onion no garlic | Extra chutney packets please,68,0,5,73
596,True,Extra cheese on top,18,0,5,23
1676,False,,0,0,5,0
1356,True,"Make everything mild spice, pack sauces separate",54,0,5,59
1674,False,,0,0,5,0
1687,False,,0,0,5,0
1694,False,,0,0,5,0
613,False,,0,0,5,0
632,False,,0,0,5,0
1697,True,No spice at all please | Extra raita on the side | Pack roti and curry separately,52,0,5,57
629,False,,0,0,5,0
1715,True,Gluten free preparation | Add extra green chilli,30,0,5,35
1725,True,Charred tandoori finish,15,0,5,20
637,True,"Extra chutney packets please | No MSG please | Separate dal and rice, extra papad, no pickle",46,0,5,51
1392,True,Need extra tissue and cutlery,10,0,5,15
1387,False,,0,0,5,0
1719,False,,0,0,5,0
647,False,,0,0,5,0
659,False,,0,0,5,0
652,True,"Make everything mild spice, pack sauces separate | Separate packaging for each item | Extra chutney packets please",62,0,5,67
1407,True,"Separate dal and rice, extra papad, no pickle",30,0,5,35
664,False,,0,0,5,0
1735,True,"Make everything mild spice, pack sauces separate | Extra chutney packets please | Gluten free preparation",82,0,5,87
1410,True,"Make everything mild spice, pack sauces separate | Need extra tissue and cutlery | Double wrap the paratha",79,0,5,84
1752,True,Sugar free dessert,15,0,5,20
1753,False,,0,0,5,0
665,True,No spice at all please,20,0,5,25
1440,False,,0,0,5,0
1773,True,Need extra tissue and cutlery | Pack roti and curry separately | Make the tikka well done,55,0,5,60
675,False,,0,0,5,0
1776,True,"Make everything mild spice, pack sauces separate",54,0,5,59
1761,False,,0,0,5,0
1785,False,,0,0,5,0
1764,True,Need extra tissue and cutlery | Make it extra spicy | Gluten free preparation,45,0,5,50
683,False,,0,0,5,0
1796,True,Add extra butter on naan,10,0,5,15
695,True,Medium spice level,12,0,5,17
694,True,Double wrap the paratha | Extra raita on the side | Use only mustard oil,37,0,5,42
1822,True,Gluten free preparation,20,0,5,25
696,True,Charred tandoori finish | Add extra butter on naan | Make it extra spicy,40,0,5,45
703,False,,0,0,5,0
1815,False,,0,0,5,0
1492,False,,0,0,5,0
716,False,,0,0,5,0
1834,True,Double wrap the paratha,15,0,5,20
1830,True,Double wrap the paratha,15,0,5,20
721,False,,0,0,5,0
1833,True,No MSG please,8,0,5,13
1518,True,"Separate dal and rice, extra papad, no pickle",30,0,5,35
1521,True,Extra chutney packets please | No MSG please,16,0,5,21
724,True,Add extra green chilli | Add paneer tikka as extra | Do not overcook the biryani rice,52,0,5,57
729,False,,0,0,5,0
1850,True,No spice at all please,20,0,5,25
1891,False,,0,0,5,0
1866,True,Make it extra spicy | Steam instead of fry,35,0,5,40
1563,True,"Charred tandoori finish | Gluten free preparation | Separate dal and rice, extra papad, no pickle",65,0,5,70
736,True,"Separate dal and rice, extra papad, no pickle | Gluten free preparation | Pack roti and curry separately",50,0,5,55
1564,True,Medium spice level,12,0,5,17
1875,True,Add extra butter on naan | No MSG please | Gluten free preparation,38,0,5,43
728,True,"Separate dal and rice, extra papad, no pickle | Extra cheese on top",48,0,5,53
1572,True,Gluten free preparation,20,0,5,25
1880,False,,0,0,5,0
1878,True,Add paneer tikka as extra,30,0,5,35
744,True,Charred tandoori finish | Jain preparation no onion no garlic,75,0,5,80
748,True,Gluten free preparation,20,0,5,25
1895,True,"Gluten free preparation | Separate dal and rice, extra papad, no pickle | Separate packaging for each item",50,0,5,55
1896,False,,0,0,5,0
1596,False,,0,0,5,0
1910,True,Extra cheese on top | Add paneer tikka as extra,48,0,5,53
1602,False,,0,0,5,0
740,False,,0,0,5,0
1925,False,,0,0,5,0
755,False,,0,0,5,0
1982,False,,0,0,5,0
758,False,,0,0,5,0
1985,False,,0,0,5,0
756,False,,0,0,5,0
1964,False,,0,0,5,0
1965,True,Make it extra spicy,15,0,5,20
767,True,Pack roti and curry separately,20,0,5,25
1996,True,Do not overcook the biryani rice,12,0,5,17
1632,True,Add extra butter on naan | Make the tikka well done,35,0,5,40
770,True,Gluten free preparation,20,0,5,25
766,False,,0,0,5,0
2016,False,,0,0,5,0
1673,True,Less oil in preparation,10,0,5,15
2036,False,,0,0,5,0
785,False,,0,0,5,0
1683,True,"Make everything mild spice, pack sauces separate | Separate dal and rice, extra papad, no pickle",64,0,5,69
2046,False,,0,0,5,0
2028,False,,0,0,5,0
1690,False,,0,0,5,0
2053,True,Medium spice level,12,0,5,17
2042,True,Gluten free preparation,20,0,5,25
2059,False,,0,0,5,0
795,False,,0,0,5,0
2065,True,Add extra butter on naan | Medium spice level,22,0,5,27
2079,True,"Half portion butter chicken, double naan, raita side | Need extra tissue and cutlery",37,0,5,42
2081,False,,0,0,5,0
796,True,"Need extra tissue and cutlery | Make everything mild spice, pack sauces separate",64,0,5,69
809,True,Make it extra spicy,15,0,5,20
1740,False,,0,0,5,0
2128,False,,0,0,5,0
808,True,Less oil in preparation,10,0,5,15
2150,False,,0,0,5,0
2099,False,,0,0,5,0
820,False,,0,0,5,0
2169,False,,0,0,5,0
1790,False,,0,0,5,0
833,False,,0,0,5,0
844,False,,0,0,5,0
2184,True,"Half portion butter chicken, double naan, raita side | Medium spice level",39,0,5,44
846,False,,0,0,5,0
2123,False,,0,0,5,0
845,False,,0,0,5,0
2189,True,Use only mustard oil,10,0,5,15
2143,False,,0,0,5,0
1810,False,,0,0,5,0
1806,False,,0,0,5,0
1819,True,Sugar free dessert | Add paneer tikka as extra,45,0,5,50
1823,False,,0,0,5,0
865,True,Need extra tissue and cutlery,10,0,5,15
866,True,Sugar free dessert,15,0,5,20
2176,True,"Half portion butter chicken, double naan, raita side",27,0,5,32
868,False,,0,0,5,0
1839,True,"Add extra green chilli | Half portion butter chicken, double naan, raita side | Extra chutney packets please",45,0,5,50
2199,False,,0,0,5,0
1865,True,"Make everything mild spice, pack sauces separate",54,0,5,59
1871,False,,0,0,5,0
2227,False,,0,0,5,0
892,True,Steam instead of fry | Make the tikka well done | No spice at all please,65,0,5,70
2292,True,Add extra green chilli | Make the tikka well done,35,0,5,40
2232,True,Make the tikka well done,25,0,5,30
889,False,,0,0,5,0
1884,True,Charred tandoori finish | No MSG please,23,0,5,28
2313,True,"Half portion butter chicken, double naan, raita side",27,0,5,32
906,False,,0,0,5,0
2265,True,"No MSG please | Separate dal and rice, extra papad, no pickle | Steam instead of fry",58,0,5,63
1888,True,Charred tandoori finish,15,0,5,20
910,False,,0,0,5,0
2334,True,Separate packaging for each item,20,0,5,25
916,True,Less oil in preparation | Make the tikka well done,35,0,5,40
1919,False,,0,0,5,0
913,False,,0,0,5,0
2364,False,,0,0,5,0
2376,True,Need extra tissue and cutlery,10,0,5,15
924,True,"Double wrap the paratha | Half portion butter chicken, double naan, raita side",42,0,5,47
2401,False,,0,0,5,0
934,False,,0,0,5,0
1953,False,,0,0,5,0
2393,True,Less oil in preparation | Use only mustard oil,20,0,5,25
2429,False,,0,0,5,0
2431,True,Make the tikka well done,25,0,5,30
2413,True,Extra cheese on top,18,0,5,23
2427,False,,0,0,5,0
944,True,Add extra butter on naan,10,0,5,15
941,False,,0,0,5,0
2503,False,,0,0,5,0
956,True,Charred tandoori finish,15,0,5,20
2001,True,Jain preparation no onion no garlic,60,0,5,65
2525,False,,0,0,5,0
2468,True,Sugar free dessert,15,0,5,20
2038,False,,0,0,5,0
2489,False,,0,0,5,0
2576,False,,0,0,5,0
2491,True,Pack roti and curry separately,20,0,5,25
2581,False,,0,0,5,0
2596,True,Extra chutney packets please,8,0,5,13
973,True,Make the tikka well done,25,0,5,30
974,False,,0,0,5,0
986,False,,0,0,5,0
2061,False,,0,0,5,0
2622,False,,0,0,5,0
2076,True,Pack roti and curry separately,20,0,5,25
2564,False,,0,0,5,0
2557,True,"Add paneer tikka as extra | Half portion butter chicken, double naan, raita side",57,0,5,62
991,True,Sugar free dessert | Make it extra spicy,30,0,5,35
2565,False,,0,0,5,0
2662,False,,0,0,5,0
2568,False,,0,0,5,0
2578,False,,0,0,5,0
2120,True,"Half portion butter chicken, double naan, raita side | Do not overcook the biryani rice | Add paneer tikka as extra",69,0,5,74
2677,False,,0,0,5,0
2595,True,Extra raita on the side,12,0,5,17
2148,True,Add paneer tikka as extra,30,0,5,35
2620,True,"Extra chutney packets please | Charred tandoori finish | Separate dal and rice, extra papad, no pickle",53,0,5,58
1014,True,"Make everything mild spice, pack sauces separate | No MSG please",62,0,5,67
2628,False,,0,0,5,0
2756,True,Less oil in preparation | Need extra tissue and cutlery | Double wrap the paratha,35,0,5,40
2772,True,Make it extra spicy,15,0,5,20
2776,True,Gluten free preparation,20,0,5,25
1030,True,"Add paneer tikka as extra | Separate dal and rice, extra papad, no pickle",60,0,5,65
2815,False,,0,0,5,0
2683,True,Make the tikka well done,25,0,5,30
2705,False,,0,0,5,0
2836,True,No MSG please | Charred tandoori finish | Make it extra spicy,38,0,5,43
2713,True,Do not overcook the biryani rice | Gluten free preparation | Make it extra spicy,47,0,5,52
2845,False,,0,0,5,0
1050,True,Extra chutney packets please,8,0,5,13
2291,True,Make the tikka well done,25,0,5,30
2727,True,Double wrap the paratha,15,0,5,20
2295,True,Pack roti and curry separately,20,0,5,25
2783,False,,0,0,5,0
2894,False,,0,0,5,0
1052,False,,0,0,5,0
2304,False,,0,0,5,0
2302,False,,0,0,5,0
2312,False,,0,0,5,0
2932,False,,0,0,5,0
2814,True,Add extra butter on naan,10,0,5,15
1070,True,Add paneer tikka as extra | Double wrap the paratha,45,0,5,50
2327,False,,0,0,5,0
2935,True,Extra chutney packets please | Double wrap the paratha,23,0,5,28
2351,False,,0,0,5,0
2945,False,,0,0,5,0
2397,False,,0,0,5,0
2856,True,Less oil in preparation | Make it extra spicy,25,0,5,30
2970,True,No spice at all please | Extra raita on the side,32,0,5,37
2866,False,,0,0,5,0
2400,True,Medium spice level,12,0,5,17
2417,True,Use only mustard oil | No spice at all please,30,0,5,35
1108,True,Need extra tissue and cutlery | Pack roti and curry separately,30,0,5,35
2885,False,,0,0,5,0
2433,False,,0,0,5,0
1126,False,,0,0,5,0
3043,False,,0,0,5,0
2892,True,No MSG please | Jain preparation no onion no garlic,68,0,5,73
3048,True,Less oil in preparation,10,0,5,15
2449,True,Do not overcook the biryani rice | Pack roti and curry separately,32,0,5,37
1133,False,,0,0,5,0
1135,True,Double wrap the paratha,15,0,5,20
2898,False,,0,0,5,0
3052,True,Separate packaging for each item | No MSG please,28,0,5,33
2940,False,,0,0,5,0
2475,False,,0,0,5,0
2476,True,"Separate dal and rice, extra papad, no pickle | Sugar free dessert",45,0,5,50
1150,True,Separate packaging for each item,20,0,5,25
2483,True,Add extra green chilli | Do not overcook the biryani rice | Make it extra spicy,37,0,5,42
1153,True,Do not overcook the biryani rice | Gluten free preparation | Add paneer tikka as extra,62,0,5,67
3092,True,Sugar free dessert,15,0,5,20
2986,True,Do not overcook the biryani rice,12,0,5,17
3110,True,Use only mustard oil | Need extra tissue and cutlery,20,0,5,25
1165,True,"Half portion butter chicken, double naan, raita side",27,0,5,32
3114,True,Gluten free preparation,20,0,5,25
3130,True,"Add extra green chilli | Make everything mild spice, pack sauces separate",64,0,5,69
2541,True,"Make everything mild spice, pack sauces separate | No spice at all please | Extra raita on the side",74,0,5,79
3133,True,Gluten free preparation,20,0,5,25
3040,False,,0,0,5,0
3134,True,Steam instead of fry,20,0,5,25
1176,True,Make it extra spicy | Extra chutney packets please,23,0,5,28
3147,False,,0,0,5,0
3163,True,Add extra green chilli | Extra chutney packets please,18,0,5,23
3059,False,,0,0,5,0
3067,False,,0,0,5,0
3184,True,Use only mustard oil | Make the tikka well done | Sugar free dessert,50,0,5,55
1185,False,,0,0,5,0
1196,False,,0,0,5,0
3210,True,Separate packaging for each item,20,0,5,25
3094,True,Use only mustard oil | Double wrap the paratha,25,0,5,30
3211,True,"Charred tandoori finish | Half portion butter chicken, double naan, raita side",42,0,5,47
1199,False,,0,0,5,0
3223,False,,0,0,5,0
3105,True,Extra chutney packets please,8,0,5,13
1198,False,,0,0,5,0
3119,False,,0,0,5,0
3108,False,,0,0,5,0
2598,False,,0,0,5,0
2593,True,Do not overcook the biryani rice | Double wrap the paratha,27,0,5,32
3246,False,,0,0,5,0
3120,False,,0,0,5,0
1200,True,Need extra tissue and cutlery,10,0,5,15
3248,False,,0,0,5,0
3256,True,Medium spice level | Double wrap the paratha,27,0,5,32
2613,True,"Need extra tissue and cutlery | Half portion butter chicken, double naan, raita side | Make the tikka well done",62,0,5,67
3264,True,Gluten free preparation | Add paneer tikka as extra,50,0,5,55
3268,True,Less oil in preparation,10,0,5,15
3269,False,,0,0,5,0
3274,False,,0,0,5,0
3157,True,Separate packaging for each item | Less oil in preparation | Pack roti and curry separately,30,0,5,35
1231,True,Double wrap the paratha,15,0,5,20
1238,True,No MSG please,8,0,5,13
3181,True,Double wrap the paratha | Charred tandoori finish,30,0,5,35
1240,False,,0,0,5,0
1229,False,,0,0,5,0
2649,True,Pack roti and curry separately,20,0,5,25
3193,True,"Separate dal and rice, extra papad, no pickle",30,0,5,35
3311,False,,0,0,5,0
2652,False,,0,0,5,0
1247,False,,0,0,5,0
3209,False,,0,0,5,0
1250,True,Charred tandoori finish,15,0,5,20
3329,False,,0,0,5,0
1242,True,Sugar free dessert | Less oil in preparation,25,0,5,30
3263,True,Less oil in preparation | Make the tikka well done,35,0,5,40
1263,False,,0,0,5,0
1261,False,,0,0,5,0
3371,True,Medium spice level | Extra cheese on top,30,0,5,35
2718,False,,0,0,5,0
2719,True,Sugar free dessert,15,0,5,20
3410,True,Gluten free preparation,20,0,5,25
3350,False,,0,0,5,0
1278,True,Less oil in preparation | Charred tandoori finish,25,0,5,30
2748,True,Extra chutney packets please,8,0,5,13
2751,False,,0,0,5,0
3364,False,,0,0,5,0
1286,False,,0,0,5,0
2754,False,,0,0,5,0
2764,True,Charred tandoori finish | Add extra butter on naan | Extra raita on the side,37,0,5,42
3525,True,Double wrap the paratha | Extra cheese on top,33,0,5,38
3389,True,Add extra green chilli,10,0,5,15
3391,True,Add extra butter on naan | Add extra green chilli,20,0,5,25
3520,True,"Half portion butter chicken, double naan, raita side | Sugar free dessert",42,0,5,47
3529,False,,0,0,5,0
2789,False,,0,0,5,0
1298,False,,0,0,5,0
1304,True,Pack roti and curry separately,20,0,5,25
2792,True,"Double wrap the paratha | Separate dal and rice, extra papad, no pickle",45,0,5,50
3561,True,"Half portion butter chicken, double naan, raita side | Steam instead of fry",47,0,5,52
3425,True,Add extra green chilli | Pack roti and curry separately,30,0,5,35
2801,False,,0,0,5,0
3430,True,Extra raita on the side,12,0,5,17
3573,True,Make it extra spicy,15,0,5,20
3450,True,Jain preparation no onion no garlic | Double wrap the paratha,75,0,5,80
2817,False,,0,0,5,0
3453,True,No spice at all please,20,0,5,25
1331,True,Sugar free dessert | Jain preparation no onion no garlic,75,0,5,80
1338,True,"Half portion butter chicken, double naan, raita side | Less oil in preparation",37,0,5,42
2828,False,,0,0,5,0
3494,True,Make it extra spicy,15,0,5,20
3503,False,,0,0,5,0
3533,True,Less oil in preparation | Make the tikka well done,35,0,5,40
3633,True,No spice at all please,20,0,5,25
1362,False,,0,0,5,0
3658,False,,0,0,5,0
2872,False,,0,0,5,0
1365,True,Less oil in preparation,10,0,5,15
2876,False,,0,0,5,0
3679,True,Medium spice level,12,0,5,17
3597,False,,0,0,5,0
3691,False,,0,0,5,0
