merchant_id,zone,tandoor_units,deep_fry_units,steamer_units,grill_units,assembly_units,historical_speed_index
NCR_M158,Dwarka,2,2,1,2,2,1.03
NCR_M159,Rohini,1,1,2,2,3,0.92
NCR_M160,Saket,2,2,1,1,2,0.76
NCR_M161,Faridabad,3,1,2,1,5,1.22
NCR_M162,Gurgaon CyberHub,3,1,1,2,5,1.18
NCR_M163,Faridabad,1,3,1,2,4,1.02
NCR_M164,Dwarka,2,2,2,2,4,1.02
NCR_M165,Faridabad,2,1,2,2,4,0.85
NCR_M166,Noida Sector 18,3,3,1,1,3,1.15
NCR_M167,Dwarka,1,2,2,2,4,0.94
NCR_M168,Rohini,1,3,1,2,3,1.04
NCR_M169,Faridabad,1,3,2,2,3,0.77
NCR_M170,Saket,1,1,2,1,5,0.91
NCR_M171,Faridabad,1,1,2,1,5,1.02
NCR_M172,Connaught Place,2,3,2,2,2,1.04
NCR_M173,Saket,2,1,1,2,5,1.09
NCR_M174,Noida Sector 18,2,3,2,1,2,0.9
NCR_M175,Connaught Place,1,1,1,2,2,0.79
NCR_M176,Gurgaon CyberHub,3,2,1,2,3,1.18
NCR_M177,Saket,3,1,1,1,4,0.71
NCR_M178,Rohini,1,3,2,2,5,1.28
NCR_M179,Connaught Place,3,2,2,1,3,0.8
NCR_M180,Rohini,3,2,1,2,4,1.02
NCR_M181,Saket,2,3,1,2,2,0.81
NCR_M182,Saket,2,3,2,1,5,0.85
NCR_M183,Lajpat Nagar,3,1,2,2,5,0.75
NCR_M184,Lajpat Nagar,2,3,1,2,2,1.02
NCR_M185,Gurgaon CyberHub,1,2,2,2,3,1.03
NCR_M186,Lajpat Nagar,2,2,1,2,3,0.75
NCR_M187,Noida Sector 18,3,1,1,1,2,1.06
NCR_M188,Gurgaon CyberHub,2,3,1,2,4,1.26
NCR_M189,Rohini,2,2,2,1,5,1.29
NCR_M190,Dwarka,2,3,1,1,5,1.13
NCR_M191,Connaught Place,1,3,1,1,3,1.18
NCR_M192,Saket,3,1,1,1,4,1.1
NCR_M193,Faridabad,2,2,2,1,2,1.05
NCR_M194,Saket,2,3,2,2,5,0.98
NCR_M195,Noida Sector 18,2,1,1,1,4,1.05
NCR_M196,Lajpat Nagar,1,1,1,1,3,1.03
NCR_M197,Rohini,3,3,1,2,3,0.9
NCR_M198,Dwarka,3,2,2,2,4,1.23
NCR_M199,Faridabad,1,2,1,1,5,1.3
NCR_M200,Lajpat Nagar,1,1,1,1,4,1.15
NCR_M201,Saket,2,2,2,2,2,1.23
NCR_M202,Connaught Place,1,2,2,1,4,0.93
NCR_M203,Faridabad,1,3,1,2,2,0.99
NCR_M204,Saket,1,2,1,1,4,1.12
NCR_M205,Dwarka,2,3,1,1,5,0.81
NCR_M206,Rohini,2,2,2,2,4,0.98
NCR_M207,Noida Sector 18,2,3,2,2,2,0.78
NCR_M208,Faridabad,2,1,1,1,5,1.22
NCR_M209,Dwarka,1,1,2,1,3,1.16
NCR_M210,Connaught Place,3,2,1,2,4,1.14
NCR_M211,Connaught Place,1,2,1,1,2,0.77
NCR_M212,Connaught Place,1,2,2,2,3,1.2
NCR_M213,Gurgaon CyberHub,1,3,2,1,4,1.05
NCR_M214,Connaught Place,1,3,1,1,2,0.82
NCR_M215,Rohini,1,1,2,1,4,0.94
NCR_M216,Lajpat Nagar,1,2,1,2,3,0.98
NCR_M217,Rohini,3,2,1,1,5,0.83
NCR_M218,Lajpat Nagar,3,3,2,2,2,1.0
NCR_M219,Rohini,2,1,2,1,2,1.17
NCR_M220,Saket,3,2,2,2,3,1.1
NCR_M221,Lajpat Nagar,3,1,2,1,2,1.03
NCR_M222,Noida Sector 18,2,3,1,2,2,0.88
NCR_M223,Saket,1,2,1,1,4,1.18
NCR_M224,Lajpat Nagar,2,2,1,1,2,0.93
NCR_M225,Connaught Place,3,2,1,2,4,0.97
NCR_M226,Connaught Place,2,2,2,1,3,1.0
NCR_M227,Gurgaon CyberHub,3,3,2,1,5,1.22
NCR_M228,Faridabad,3,3,2,2,3,1.24
NCR_M229,Lajpat Nagar,2,1,1,1,5,1.2
NCR_M230,Connaught Place,3,1,2,1,2,0.83
NCR_M231,Lajpat Nagar,3,3,1,1,5,0.76
NCR_M232,Faridabad,3,1,1,1,2,1.03
NCR_M233,Gurgaon CyberHub,2,3,2,2,3,1.06
NCR_M234,Noida Sector 18,2,3,2,2,5,1.1
NCR_M235,Connaught Place,1,2,1,1,5,0.75
NCR_M236,Connaught Place,2,3,1,1,2,0.72
NCR_M237,Gurgaon CyberHub,1,3,2,1,5,1.12
NCR_M238,Gurgaon CyberHub,1,3,1,2,4,0.86
NCR_M239,Lajpat Nagar,2,3,1,1,5,1.2
NCR_M240,Saket,1,2,2,2,2,0.96
NCR_M241,Connaught Place,3,2,2,2,5,0.77
NCR_M242,Connaught Place,2,3,2,1,5,0.81
NCR_M243,Connaught Place,2,3,1,2,2,1.02
NCR_M244,Rohini,1,1,1,1,3,1.09
NCR_M245,Noida Sector 18,2,2,2,1,2,1.11
NCR_M246,Dwarka,1,3,2,2,5,0.77
NCR_M247,Saket,1,2,2,1,2,1.09
NCR_M248,Gurgaon CyberHub,2,3,1,2,3,0.78
NCR_M249,Rohini,1,3,2,1,5,0.85
NCR_M250,Gurgaon CyberHub,1,1,1,1,3,1.25
NCR_M251,Gurgaon CyberHub,2,1,2,2,3,0.95
NCR_M252,Lajpat Nagar,2,2,1,1,4,0.75
NCR_M253,Rohini,3,2,1,1,4,0.87
NCR_M254,Connaught Place,1,3,1,2,4,1.27
NCR_M255,Noida Sector 18,3,3,2,2,3,1.14
NCR_M256,Noida Sector 18,1,2,2,1,5,0.8
NCR_M257,Rohini,3,1,2,1,2,0.79
NCR_M258,Faridabad,1,2,2,1,2,0.75
NCR_M259,Noida Sector 18,1,1,1,1,4,1.06
NCR_M260,Rohini,1,3,1,1,3,1.18
NCR_M261,Lajpat Nagar,3,2,2,2,5,0.92
NCR_M262,Connaught Place,3,3,1,1,2,1.27
NCR_M263,Noida Sector 18,3,1,1,2,3,1.27
NCR_M264,Dwarka,3,3,1,1,4,1.13
NCR_M265,Saket,2,1,2,1,5,0.83
NCR_M266,Saket,2,1,1,2,4,0.73
NCR_M267,Noida Sector 18,3,1,1,2,2,0.98
NCR_M268,Saket,3,2,1,1,4,0.88
NCR_M269,Faridabad,2,3,1,1,3,1.15
NCR_M270,Gurgaon CyberHub,3,3,2,1,3,1.09
NCR_M271,Rohini,2,3,2,1,5,0.77
NCR_M272,Rohini,2,3,1,1,5,0.96
NCR_M273,Faridabad,3,3,1,2,2,1.02
NCR_M274,Faridabad,2,1,1,2,2,1.23
NCR_M275,Connaught Place,2,2,2,1,4,1.22
NCR_M276,Saket,2,3,1,1,2,0.93
NCR_M277,Dwarka,3,3,1,2,5,0.73
NCR_M278,Dwarka,1,1,2,1,5,1.08
NCR_M279,Saket,3,1,2,2,2,0.9
NCR_M280,Lajpat Nagar,1,1,2,1,4,0.98
NCR_M281,Dwarka,2,2,2,2,3,1.05
NCR_M282,Faridabad,1,1,2,1,2,0.77
NCR_M283,Rohini,1,3,2,1,2,0.86
NCR_M284,Saket,2,3,2,1,3,1.06
NCR_M285,Faridabad,2,1,2,1,4,1.29
NCR_M286,Dwarka,3,1,1,2,2,1.2
NCR_M287,Dwarka,2,2,1,2,2,0.83
NCR_M288,Rohini,1,2,1,2,3,1.18
NCR_M289,Saket,2,3,1,1,2,1.26
NCR_M290,Dwarka,2,1,1,1,3,1.01
NCR_M291,Saket,2,2,1,2,4,1.19
NCR_M292,Lajpat Nagar,2,1,2,1,4,0.72
NCR_M293,Connaught Place,2,1,2,1,2,0.93
NCR_M294,Dwarka,3,1,1,1,2,1.21
NCR_M295,Connaught Place,2,1,1,2,2,1.03
NCR_M296,Faridabad,3,2,2,2,4,0.7
NCR_M297,Dwarka,3,1,2,2,3,0.75
NCR_M298,Saket,1,1,1,1,3,1.0
NCR_M299,Saket,2,1,1,2,4,0.91
NCR_M300,Gurgaon CyberHub,2,3,1,1,2,1.23
NCR_M301,Noida Sector 18,3,1,1,1,5,1.13
NCR_M302,Saket,3,1,1,1,3,0.76
NCR_M303,Saket,3,2,2,1,2,1.23
NCR_M304,Connaught Place,2,1,1,1,4,0.7
NCR_M305,Gurgaon CyberHub,3,1,2,1,4,0.7
NCR_M306,Connaught Place,2,2,1,1,5,0.7
NCR_M307,Lajpat Nagar,1,2,1,1,2,1.08
NCR_M308,Faridabad,3,2,2,2,5,1.19
NCR_M309,Connaught Place,2,3,2,1,3,0.96
NCR_M310,Rohini,2,3,2,2,4,1.26
NCR_M311,Dwarka,1,2,2,2,5,1.16
NCR_M312,Gurgaon CyberHub,3,1,2,2,2,1.05
NCR_M313,Connaught Place,1,2,2,2,4,1.21
NCR_M314,Noida Sector 18,2,3,1,2,5,1.09
NCR_M315,Gurgaon CyberHub,1,3,1,1,2,0.89
NCR_M316,Connaught Place,3,3,1,2,4,0.97
NCR_M317,Lajpat Nagar,2,2,1,2,2,0.76
NCR_M318,Dwarka,1,3,1,1,2,1.12
NCR_M319,Saket,2,3,2,2,3,0.78
NCR_M320,Lajpat Nagar,3,1,2,2,5,0.96
NCR_M321,Dwarka,1,3,2,1,4,1.28
NCR_M322,Saket,3,1,1,1,4,0.95
NCR_M323,Faridabad,2,3,2,1,4,0.72
NCR_M324,Lajpat Nagar,1,2,1,2,5,1.03
NCR_M325,Connaught Place,2,1,1,1,2,0.79
NCR_M326,Dwarka,3,2,2,2,4,1.08
NCR_M327,Connaught Place,1,2,1,2,3,0.98
NCR_M328,Saket,2,2,1,1,3,1.11
NCR_M329,Faridabad,1,2,2,1,5,0.74
NCR_M330,Rohini,2,1,1,2,5,0.96
NCR_M331,Faridabad,1,1,2,1,3,1.11
NCR_M332,Faridabad,2,2,1,1,3,0.87
NCR_M333,Gurgaon CyberHub,1,1,1,2,3,1.24
NCR_M334,Faridabad,3,2,1,2,2,0.85
NCR_M335,Gurgaon CyberHub,1,2,2,1,5,0.99
NCR_M336,Faridabad,1,2,2,2,3,0.9
NCR_M337,Dwarka,2,1,1,1,2,0.75
NCR_M338,Gurgaon CyberHub,1,2,2,1,3,1.29
NCR_M339,Lajpat Nagar,2,2,2,2,4,0.82
NCR_M340,Rohini,3,1,2,1,2,1.12
NCR_M341,Noida Sector 18,2,1,2,1,4,1.07
NCR_M342,Lajpat Nagar,1,2,2,2,5,1.13
NCR_M343,Gurgaon CyberHub,2,2,1,1,4,0.75
NCR_M344,Faridabad,2,2,2,2,4,1.09
NCR_M345,Saket,1,2,2,1,3,0.74
NCR_M346,Connaught Place,3,1,1,1,4,0.83
NCR_M347,Saket,3,2,2,1,5,1.22
NCR_M348,Connaught Place,1,3,2,1,5,1.03
NCR_M349,Saket,2,3,2,1,5,1.03
NCR_M350,Connaught Place,3,3,2,2,4,1.11
NCR_M351,Noida Sector 18,1,2,1,1,2,1.2
NCR_M352,Faridabad,1,2,1,1,3,1.15
NCR_M353,Gurgaon CyberHub,1,2,2,2,5,1.03
NCR_M354,Connaught Place,3,1,2,2,2,0.94
NCR_M355,Noida Sector 18,2,3,2,2,3,1.09
NCR_M356,Dwarka,3,3,2,2,2,0.83
NCR_M357,Rohini,1,2,2,1,4,0.84
NCR_M358,Lajpat Nagar,2,2,1,2,5,0.92
NCR_M359,Saket,2,3,1,1,3,1.0
NCR_M360,Connaught Place,2,2,2,1,4,1.06
NCR_M361,Saket,3,1,2,2,4,0.8
NCR_M362,Faridabad,3,1,1,2,3,1.21
NCR_M363,Dwarka,1,3,1,2,5,0.78
NCR_M364,Saket,1,3,1,1,4,1.23
NCR_M365,Lajpat Nagar,2,2,2,2,2,0.9
NCR_M366,Lajpat Nagar,2,1,1,1,5,1.05
NCR_M367,Rohini,1,1,2,2,5,0.93
NCR_M368,Noida Sector 18,3,1,1,1,5,0.98
NCR_M369,Faridabad,1,3,1,2,5,1.02
NCR_M370,Dwarka,2,2,2,1,4,0.84
NCR_M371,Rohini,2,1,1,1,4,0.97
NCR_M372,Gurgaon CyberHub,1,3,1,1,2,1.05
NCR_M373,Connaught Place,2,1,2,2,4,0.7
NCR_M374,Noida Sector 18,2,1,2,1,2,1.05
NCR_M375,Saket,3,3,2,1,5,1.02
NCR_M376,Faridabad,3,2,1,2,5,1.26
NCR_M377,Dwarka,3,2,1,1,4,1.1
NCR_M378,Gurgaon CyberHub,2,1,1,2,4,1.12
NCR_M379,Faridabad,3,3,2,1,3,0.71
NCR_M380,Dwarka,2,1,2,2,4,1.04
NCR_M381,Connaught Place,3,1,2,2,2,1.06
NCR_M382,Lajpat Nagar,3,2,1,2,2,1.05
NCR_M383,Faridabad,2,2,2,2,3,0.89
NCR_M384,Faridabad,1,1,1,2,2,1.17
NCR_M385,Connaught Place,1,3,1,1,5,1.09
NCR_M386,Lajpat Nagar,2,2,2,2,4,1.18
NCR_M387,Noida Sector 18,2,1,1,1,4,1.22
NCR_M388,Connaught Place,1,2,2,1,2,0.9
NCR_M389,Noida Sector 18,1,2,1,1,2,0.93
NCR_M390,Saket,1,1,1,1,5,0.92
NCR_M391,Rohini,2,2,1,1,5,1.1
NCR_M392,Gurgaon CyberHub,2,2,2,1,4,1.03
NCR_M393,Connaught Place,2,2,2,1,2,0.9
NCR_M394,Noida Sector 18,1,2,2,1,4,1.02
NCR_M395,Saket,3,3,2,1,3,1.15
NCR_M396,Noida Sector 18,3,3,1,1,4,0.96
NCR_M397,Noida Sector 18,3,1,2,1,2,1.09
NCR_M398,Dwarka,3,3,2,1,2,0.91
NCR_M399,Saket,2,2,1,2,5,1.01
NCR_M400,Faridabad,2,3,1,1,5,1.02
NCR_M401,Faridabad,2,2,2,2,2,1.29
NCR_M402,Rohini,2,1,2,1,4,1.11
NCR_M403,Faridabad,2,3,1,1,4,0.88
NCR_M404,Faridabad,1,2,1,2,5,1.28
NCR_M405,Noida Sector 18,2,3,2,1,5,0.73
NCR_M406,Lajpat Nagar,2,3,1,1,4,1.08
NCR_M407,Gurgaon CyberHub,1,2,2,1,3,0.83
NCR_M408,Noida Sector 18,2,2,1,1,3,1.24
NCR_M409,Saket,1,2,1,1,5,0.86
NCR_M410,Faridabad,3,3,2,1,3,1.16
NCR_M411,Connaught Place,2,1,1,2,2,0.8
NCR_M412,Faridabad,3,2,1,1,2,0.76
NCR_M413,Connaught Place,1,3,1,2,4,1.03
NCR_M414,Saket,2,1,2,1,2,0.74
NCR_M415,Connaught Place,1,2,2,1,4,1.12
NCR_M416,Rohini,3,2,2,1,4,1.13
NCR_M417,Lajpat Nagar,3,3,2,2,3,0.76
NCR_M418,Gurgaon CyberHub,2,2,2,2,4,1.16
NCR_M419,Lajpat Nagar,1,1,2,1,2,0.89
NCR_M420,Noida Sector 18,3,2,1,1,5,0.97
NCR_M421,Connaught Place,2,1,2,1,5,1.02
NCR_M422,Lajpat Nagar,2,2,1,2,5,0.89
NCR_M423,Connaught Place,3,2,2,2,4,0.93
NCR_M424,Noida Sector 18,2,1,1,2,4,0.98
NCR_M425,Saket,2,2,2,1,2,1.08
NCR_M426,Rohini,3,1,1,2,3,0.76
NCR_M427,Saket,1,3,2,2,2,0.88
NCR_M428,Rohini,3,2,1,1,5,1.28
NCR_M429,Lajpat Nagar,2,1,2,2,5,1.02
NCR_M430,Dwarka,1,2,1,2,3,0.85
NCR_M431,Saket,3,1,1,2,5,1.17
NCR_M432,Lajpat Nagar,2,1,2,2,2,0.84
NCR_M433,Connaught Place,1,2,1,1,3,1.26
NCR_M434,Saket,1,1,1,1,5,0.87
NCR_M435,Dwarka,2,2,1,2,4,1.17
NCR_M436,Gurgaon CyberHub,3,2,2,1,5,0.83
NCR_M437,Saket,3,1,2,2,3,1.08
NCR_M438,Gurgaon CyberHub,2,2,2,2,3,0.78
NCR_M439,Faridabad,3,2,1,1,2,0.71
NCR_M440,Noida Sector 18,3,2,1,2,3,1.29
NCR_M441,Dwarka,2,1,2,1,2,1.22
NCR_M442,Faridabad,3,2,1,2,5,1.16
NCR_M443,Faridabad,1,3,1,1,3,0.79
NCR_M444,Lajpat Nagar,1,2,2,1,3,1.0
NCR_M445,Connaught Place,3,1,2,2,5,0.77
NCR_M446,Connaught Place,1,3,2,2,3,0.87
NCR_M447,Rohini,3,2,2,1,4,1.07
NCR_M448,Gurgaon CyberHub,3,3,1,1,2,1.17
NCR_M449,Gurgaon CyberHub,2,1,2,2,4,1.15
NCR_M450,Noida Sector 18,3,3,1,1,4,0.8
NCR_M451,Dwarka,1,1,2,2,3,0.76
NCR_M452,Connaught Place,1,3,2,1,2,1.07
NCR_M453,Gurgaon CyberHub,1,2,1,2,4,1.18
NCR_M454,Noida Sector 18,3,2,2,1,4,0.92
NCR_M455,Gurgaon CyberHub,2,2,1,1,2,1.16
NCR_M456,Gurgaon CyberHub,2,3,2,2,4,0.95
NCR_M457,Rohini,2,3,1,2,4,0.78
NCR_M458,Noida Sector 18,3,1,1,1,2,1.2
NCR_M459,Connaught Place,1,1,1,2,2,1.28
NCR_M460,Gurgaon CyberHub,1,3,1,2,4,0.97
NCR_M461,Connaught Place,3,1,2,2,5,1.22
NCR_M462,Dwarka,2,3,1,1,5,1.22
NCR_M463,Rohini,2,1,2,1,2,1.27
NCR_M464,Noida Sector 18,1,1,1,1,3,0.96
NCR_M465,Saket,1,1,2,2,3,0.85
NCR_M466,Gurgaon CyberHub,1,3,1,2,5,1.24
NCR_M467,Faridabad,1,3,1,2,4,1.01
NCR_M468,Lajpat Nagar,3,1,2,2,2,0.97
NCR_M469,Faridabad,1,1,1,1,2,0.74
NCR_M470,Rohini,3,1,1,2,2,0.93
NCR_M471,Dwarka,3,2,2,1,5,1.16
NCR_M472,Saket,3,3,2,1,4,0.95
NCR_M473,Gurgaon CyberHub,1,2,2,2,5,0.86
NCR_M474,Gurgaon CyberHub,2,3,2,2,5,1.24
NCR_M475,Lajpat Nagar,1,1,2,1,3,0.71
NCR_M476,Dwarka,2,2,1,1,2,1.02
NCR_M477,Gurgaon CyberHub,2,3,2,2,2,0.78
NCR_M478,Gurgaon CyberHub,3,2,2,1,2,1.25
NCR_M479,Lajpat Nagar,2,3,2,1,2,1.26
NCR_M480,Faridabad,3,1,1,2,4,1.03
NCR_M481,Gurgaon CyberHub,2,1,2,2,5,0.84
NCR_M482,Rohini,1,3,2,1,5,1.3
NCR_M483,Saket,2,2,1,1,2,0.86
NCR_M484,Faridabad,3,2,1,1,3,0.98
NCR_M485,Noida Sector 18,2,2,1,1,5,0.73
NCR_M486,Rohini,2,2,1,1,3,1.02
NCR_M487,Dwarka,1,2,2,1,2,1.14
NCR_M488,Saket,3,2,1,1,4,0.79
NCR_M489,Connaught Place,1,2,1,1,2,1.15
NCR_M490,Noida Sector 18,3,3,2,1,4,1.11
NCR_M491,Faridabad,3,3,1,2,2,0.8
NCR_M492,Rohini,2,2,2,2,2,1.15
