order_id,arrival_time,weather,traffic_index,rider_density,cart_items,structural_time_sec,customization_delta_sec,prep_complete_time,rider_arrival_time,dwell_time_sec,inferred_true_prep_time_sec
168,0,Clear,0.7,Low,1,4708,0,4708,5125.81,417.81,4708
62,0,Rain,0.35,Low,1,4750,66,4816,5061.52,245.52,4816
63,0,Heatwave,0.89,Low,1,4935,45,4980,5533.55,553.55,4980
180,0,Clear,0.43,Medium,1,4964,47,5011,5269.23,258.23,5011
225,0,Clear,0.37,High,1,5132,0,5132,5356.14,224.14,5132
181,0,Smog,0.69,High,1,5130,27,5157,5587.17,430.17,5157
196,0,Clear,0.56,High,1,5275,0,5275,5608.59,333.59,5275
64,0,Fog,0.35,High,1,5255,38,5293,5545.19,252.19,5293
158,0,Smog,0.62,High,1,5381,0,5381,5769.09,388.09,5381
70,0,Clear,0.9,Low,1,5461,0,5461,6002.83,541.83,5461
161,0,Fog,0.71,Medium,1,5468,27,5495,5967.56,472.56,5495
169,0,Clear,0.55,Low,1,5582,56,5638,5965.21,327.21,5638
71,0,Rain,0.56,High,1,5680,0,5680,6050.09,370.09,5680
177,0,Clear,0.53,Medium,1,5757,0,5757,6077.65,320.65,5757
275,0,Clear,0.43,Medium,1,5770,0,5770,6030.11,260.11,5770
235,0,Clear,0.4,Medium,1,5839,0,5839,6078.38,239.38,5839
278,0,Smog,0.77,High,1,5990,68,6058,6534.86,476.86,6058
184,0,Clear,0.57,High,1,6065,0,6065,6404.91,339.91,6065
198,0,Clear,0.38,High,1,6490,16,6506,6734.37,228.37,6506
259,0,Clear,0.76,High,1,6479,59,6538,6993.09,455.09,6538
266,0,Fog,0.62,Medium,1,6690,13,6703,7117.58,414.58,6703
83,0,Clear,0.91,Medium,1,6839,0,6839,7385.8,546.8,6839
217,0,Smog,0.68,Low,1,6877,34,6911,7336.63,425.63,6911
224,0,Clear,0.77,Low,1,7006,52,7058,7518.11,460.11,7058
249,0,Clear,0.43,Medium,1,7247,63,7310,7570.24,260.24,7310
87,0,Clear,0.62,Low,1,7349,16,7365,7734.81,369.81,7365
281,0,Heatwave,0.53,Low,1,7472,0,7472,7809.08,337.08,7472
96,0,Clear,0.59,Low,1,7648,0,7648,8003.07,355.07,7648
111,0,Heatwave,0.57,Medium,1,7891,49,7940,8303.15,363.15,7940
306,0,Heatwave,0.43,Medium,1,7977,11,7988,8267.67,279.67,7988
335,0,Clear,0.6,High,1,8097,0,8097,8457.16,360.16,8097
304,0,Heatwave,0.74,Medium,1,8144,0,8144,8609.13,465.13,8144
319,0,Heatwave,0.76,Low,1,8225,0,8225,8702.26,477.26,8225
276,0,Rain,0.34,Medium,1,8225,50,8275,8512.4,237.4,8275
321,0,Clear,0.47,Low,1,8317,0,8317,8601.26,284.26,8317
113,0,Smog,0.33,Medium,1,8367,0,8367,8578.51,211.51,8367
318,0,Clear,0.39,High,1,8672,0,8672,8908.73,236.73,8672
118,0,Clear,0.83,Low,1,9141,0,9141,9636.67,495.67,9141
372,0,Smog,0.9,Low,1,9107,40,9147,9702.11,555.11,9147
337,0,Clear,0.6,Low,1,9116,40,9156,9517.37,361.37,9156
338,0,Clear,0.96,Medium,1,9307,12,9319,9897.27,578.27,9319
349,0,Clear,0.91,High,1,9464,0,9464,10009.33,545.33,9464
366,0,Clear,0.9,High,1,9788,0,9788,10330.46,542.46,9788
140,0,Heatwave,0.8,Low,1,10031,11,10042,10544.72,502.72,10042
413,0,Fog,0.92,High,1,10048,0,10048,10643.09,595.09,10048
382,0,Clear,0.31,Medium,1,10120,0,10120,10307.37,187.37,10120
143,0,Clear,0.84,High,1,10232,0,10232,10735.78,503.78,10232
383,0,Heatwave,0.43,Medium,1,10328,0,10328,10606.06,278.06,10328
427,0,Rain,0.61,High,1,10368,0,10368,10772.55,404.55,10368
386,0,Rain,0.79,High,1,10721,0,10721,11228.92,507.92,10721
146,0,Rain,0.44,High,1,10725,0,10725,11023.19,298.19,10725
401,0,Fog,0.77,High,1,10872,18,10890,11399.18,509.18,10890
153,0,Clear,0.65,Low,1,10893,33,10926,11317.39,391.39,10926
460,0,Smog,0.71,High,1,10932,0,10932,11373.24,441.24,10932
157,0,Smog,0.67,Medium,1,11064,0,11064,11478.14,414.14,11064
488,0,Clear,0.68,High,1,11042,63,11105,11514.37,409.37,11105
154,0,Clear,0.69,Low,1,11179,0,11179,11592.39,413.39,11179
406,0,Clear,0.97,Medium,1,11200,23,11223,11807.31,584.31,11223
493,0,Clear,0.41,Low,1,11297,36,11333,11581.39,248.39,11333
495,0,Clear,0.5,Low,1,11418,30,11448,11747.32,299.32,11448
463,0,Smog,0.62,High,1,11727,54,11781,12169.5,388.5,11781
159,0,Smog,0.83,Low,1,11804,0,11804,12315.33,511.33,11804
515,0,Rain,0.94,Medium,1,11890,55,11945,12547.15,602.15,11945
165,0,Heatwave,0.49,Medium,1,11942,27,11969,12285.5,316.5,11969
524,0,Rain,0.54,High,1,12156,37,12193,12552.11,359.11,12193
473,0,Fog,0.6,Low,1,12240,0,12240,12642.21,402.21,12240
474,0,Heatwave,0.85,Low,1,12384,60,12444,12975.21,531.21,12444
542,0,Smog,0.32,Low,1,12554,65,12619,12826.03,207.03,12619
448,0,Clear,0.46,Medium,1,12592,41,12633,12906.85,273.85,12633
564,0,Rain,0.33,High,1,12996,24,13020,13253.26,233.26,13020
567,0,Clear,0.94,Low,1,13260,48,13308,13873.34,565.34,13308
182,0,Heatwave,0.41,Medium,1,13365,39,13404,13673.1,269.1,13404
520,0,Clear,0.97,Medium,1,13649,49,13698,14282.84,584.84,13698
186,0,Clear,0.58,Low,1,13951,0,13951,14300.81,349.81,13951
507,0,Clear,0.34,Medium,1,14032,56,14088,14294.47,206.47,14088
490,0,Heatwave,1.0,Low,1,14060,35,14095,14714.02,619.02,14095
548,0,Rain,0.95,Low,1,14117,53,14170,14778.03,608.03,14170
511,0,Clear,0.97,Low,1,14441,62,14503,15083.78,580.78,14503
521,0,Heatwave,0.44,Low,1,14624,0,14624,14909.8,285.8,14624
622,0,Clear,0.83,High,1,14726,0,14726,15225.29,499.29,14726
627,0,Smog,0.71,Low,1,14733,0,14733,15172.19,439.19,14733
574,0,Smog,0.62,Medium,1,14787,38,14825,15212.39,387.39,14825
661,0,Rain,0.63,Medium,1,14937,34,14971,15385.81,414.81,14971
581,0,Clear,0.67,Low,1,15169,69,15238,15639.14,401.14,15238
223,0,Clear,0.53,High,1,15325,0,15325,15644.58,319.58,15325
228,0,Fog,0.43,High,1,15698,54,15752,16053.93,301.93,15752
229,0,Fog,0.99,Low,1,15843,0,15843,16483.08,640.08,15843
710,0,Clear,0.54,High,1,16058,65,16123,16445.2,322.2,16123
230,0,Heatwave,0.98,Medium,1,16454,45,16499,17107.66,608.66,16499
742,0,Clear,0.88,Medium,1,16730,0,16730,17260.8,530.8,16730
239,0,Rain,0.67,Medium,1,16765,43,16808,17243.48,435.48,16808
242,0,Fog,0.35,Low,1,17382,66,17448,17702.59,254.59,17448
254,0,Heatwave,0.6,Low,1,17537,0,17537,17920.28,383.28,17537
245,0,Clear,0.85,Low,1,17602,0,17602,18109.57,507.57,17602
677,0,Clear,0.43,Low,1,17577,46,17623,17881.89,258.89,17623
680,0,Clear,0.62,Medium,1,17785,60,17845,18215.04,370.04,17845
260,0,Fog,0.85,High,1,18176,0,18176,18733.34,557.34,18176
268,0,Clear,1.0,Medium,1,18379,50,18429,19028.56,599.56,18429
818,0,Smog,0.41,Medium,1,18569,0,18569,18828.96,259.96,18569
672,0,Smog,0.44,High,1,19065,0,19065,19345.25,280.25,19065
725,0,Fog,0.9,High,1,19124,15,19139,19722.98,583.98,19139
678,0,Smog,0.61,Medium,1,19247,0,19247,19628.28,381.28,19247
679,0,Heatwave,0.69,High,1,19360,64,19424,19861.9,437.9,19424
282,0,Clear,0.41,High,1,19465,32,19497,19741.11,244.11,19497
289,0,Clear,0.76,High,1,19720,47,19767,20225.87,458.87,19767
287,0,Clear,0.98,Medium,1,19740,63,19803,20391.97,588.97,19803
761,0,Clear,0.96,Medium,1,19819,0,19819,20396.13,577.13,19819
765,0,Clear,0.35,Medium,1,20096,0,20096,20308.58,212.58,20096
698,0,Clear,0.38,Medium,1,20111,0,20111,20341.49,230.49,20111
295,0,Clear,0.78,Medium,1,20230,0,20230,20699.9,469.9,20230
867,0,Fog,0.36,Low,1,20268,0,20268,20526.61,258.61,20268
773,0,Rain,0.64,High,1,20249,69,20318,20738.6,420.6,20318
717,0,Rain,0.83,Medium,1,20421,0,20421,20957.58,536.58,20421
298,0,Clear,0.51,High,1,20472,0,20472,20780.15,308.15,20472
301,0,Clear,0.85,High,1,20720,0,20720,21231.35,511.35,20720
299,0,Clear,0.31,High,1,20799,65,20864,21048.73,184.73,20864
923,0,Heatwave,0.33,High,1,20903,45,20948,21168.5,220.5,20948
749,0,Clear,0.68,Medium,1,21305,24,21329,21734.46,405.46,21329
843,0,Clear,0.44,Low,1,21324,50,21374,21640.08,266.08,21374
314,0,Smog,0.37,Low,1,21398,0,21398,21635.47,237.47,21398
317,0,Smog,0.46,High,1,21509,0,21509,21801.5,292.5,21509
750,0,Rain,0.84,High,1,21539,0,21539,22078.4,539.4,21539
955,0,Rain,0.6,Medium,1,22155,0,22155,22550.2,395.2,22155
768,0,Clear,0.55,Medium,1,22332,0,22332,22660.09,328.09,22332
333,0,Smog,0.71,Low,1,22570,44,22614,23053.01,439.01,22614
988,0,Fog,0.69,Medium,1,22663,18,22681,23141.13,460.13,22681
339,0,Heatwave,0.97,Low,1,22646,50,22696,23300.52,604.52,22696
887,0,Heatwave,0.53,High,1,22633,69,22702,23042.25,340.25,22702
334,0,Clear,0.7,High,1,22759,0,22759,23180.26,421.26,22759
900,0,Fog,0.86,Medium,1,22980,0,22980,23539.13,559.13,22980
994,0,Clear,0.74,Medium,1,23072,67,23139,23585.52,446.52,23139
788,0,Heatwave,0.68,High,1,23251,21,23272,23700.05,428.05,23272
904,0,Clear,0.36,Medium,1,23406,35,23441,23654.66,213.66,23441
1017,0,Clear,0.91,Medium,1,23450,0,23450,23995.38,545.38,23450
351,0,Clear,0.45,Medium,1,23521,0,23521,23793.51,272.51,23521
353,0,Smog,0.47,High,1,23522,0,23522,23820.77,298.77,23522
347,0,Clear,0.63,High,1,23617,68,23685,24064.7,379.7,23685
936,0,Smog,0.54,High,1,23726,0,23726,24064.76,338.76,23726
953,0,Clear,0.6,Medium,1,24111,0,24111,24470.67,359.67,24111
822,0,Clear,0.79,Medium,1,24342,66,24408,24884.49,476.49,24408
1045,0,Smog,0.33,Low,1,24624,0,24624,24838.02,214.02,24624
1063,0,Smog,0.36,Medium,1,24806,59,24865,25093.29,228.29,24865
847,0,Heatwave,0.9,Low,1,24956,0,24956,25517.1,561.1,24956
388,0,Fog,0.36,Low,1,25170,13,25183,25444.86,261.86,25183
1080,0,Clear,0.9,Low,1,25280,27,25307,25847.98,540.98,25307
393,0,Clear,0.71,Medium,1,25333,38,25371,25796.25,425.25,25371
1002,0,Clear,0.7,Low,1,25365,64,25429,25846.22,417.22,25429
391,0,Heatwave,0.74,High,1,25656,0,25656,26123.13,467.13,25656
1104,0,Clear,0.56,Medium,1,25982,18,26000,26333.85,333.85,26000
872,0,Clear,0.95,Medium,1,26045,0,26045,26617.45,572.45,26045
1107,0,Smog,0.84,Medium,1,26003,45,26048,26569.6,521.6,26048
877,0,Smog,0.71,Low,1,26396,0,26396,26838.56,442.56,26396
403,0,Clear,0.92,High,1,26418,47,26465,27019.19,554.19,26465
414,0,Fog,0.31,Medium,1,26673,0,26673,26901.69,228.69,26673
880,0,Rain,0.59,High,1,26688,0,26688,27076.33,388.33,26688
422,0,Smog,0.44,High,1,27000,0,27000,27277.2,277.2,27000
415,0,Smog,0.58,Medium,1,27012,42,27054,27416.99,362.99,27054
893,0,Clear,0.34,Medium,1,27303,58,27361,27566.2,205.2,27361
424,0,Fog,0.57,Medium,1,27411,0,27411,27800.65,389.65,27411
896,0,Heatwave,0.39,High,1,27482,32,27514,27766.42,252.42,27514
423,0,Smog,0.85,High,1,27545,0,27545,28067.58,522.58,27545
1141,0,Heatwave,0.98,Medium,1,27679,0,27679,28288.09,609.09,27679
1177,0,Rain,0.4,Medium,1,27737,56,27793,28069.63,276.63,27793
1148,0,Clear,0.47,Medium,1,28116,12,28128,28412.2,284.2,28128
1180,0,Clear,0.92,Low,1,28169,19,28188,28742.89,554.89,28188
1147,0,Clear,0.59,Medium,1,28170,65,28235,28588.72,353.72,28235
911,0,Clear,0.83,Low,1,28233,31,28264,28764.47,500.47,28264
1187,0,Smog,0.49,High,1,28554,0,28554,28860.93,306.93,28554
1189,0,Smog,0.75,Low,1,28665,37,28702,29169.41,467.41,28702
445,0,Clear,0.95,Medium,1,28908,50,28958,29530.53,572.53,28958
957,0,Heatwave,0.69,Low,1,29177,0,29177,29610.07,433.07,29177
449,0,Clear,0.94,High,1,29387,26,29413,29978.56,565.56,29413
980,0,Rain,0.66,High,1,29514,0,29514,29946.97,432.97,29514
1225,0,Heatwave,0.45,Medium,1,29534,0,29534,29822.4,288.4,29534
457,0,Clear,0.37,High,1,29606,0,29606,29828.74,222.74,29606
1227,0,Rain,0.32,Medium,1,29645,42,29687,29916.34,229.34,29687
1190,0,Clear,0.99,High,1,29836,0,29836,30427.36,591.36,29836
981,0,Smog,0.58,Low,1,29916,0,29916,30278.98,362.98,29916
1252,0,Heatwave,0.54,Medium,1,30012,13,30025,30367.14,342.14,30025
466,0,Rain,0.84,High,1,30211,15,30226,30764.14,538.14,30226
468,0,Smog,0.84,High,1,30288,0,30288,30807.06,519.06,30288
985,0,Heatwave,0.6,High,1,30338,0,30338,30719.04,381.04,30338
1241,0,Rain,0.49,High,1,30443,0,30443,30771.04,328.04,30443
990,0,Clear,0.75,Medium,1,30664,0,30664,31111.27,447.27,30664
478,0,Rain,0.5,Low,1,30800,10,30810,31148.63,338.63,30810
1260,0,Smog,0.85,Medium,1,30911,0,30911,31433.7,522.7,30911
1301,0,Clear,0.86,High,1,30921,10,30931,31447.95,516.95,30931
1296,0,Clear,0.61,Low,1,31047,0,31047,31410.46,363.46,31047
476,0,Rain,0.92,High,1,31210,44,31254,31842.53,588.53,31254
486,0,Heatwave,0.66,Low,1,31644,14,31658,32077.71,419.71,31658
1282,0,Clear,0.82,High,1,31721,0,31721,32214.35,493.35,31721
1342,0,Smog,0.69,High,1,31805,10,31815,32244.45,429.45,31815
1345,0,Clear,0.32,High,1,32078,41,32119,32310.84,191.84,32119
1294,0,Clear,0.69,Medium,1,32183,0,32183,32598.9,415.9,32183
484,0,Smog,0.99,Medium,1,32219,46,32265,32871.91,606.91,32265
1062,0,Fog,0.76,Medium,1,32322,0,32322,32820.49,498.49,32322
1363,0,Heatwave,0.86,Low,1,32307,56,32363,32897.92,534.92,32363
1066,0,Heatwave,0.43,High,1,32657,53,32710,32988.75,278.75,32710
491,0,Smog,0.57,High,1,32864,26,32890,33248.97,358.97,32890
1390,0,Rain,0.71,Low,1,32913,41,32954,33413.38,459.38,32954
1318,0,Clear,0.73,High,1,32987,37,33024,33462.4,438.4,33024
1320,0,Smog,0.6,High,1,33054,0,33054,33428.93,374.93,33054
499,0,Heatwave,0.96,Medium,1,33066,34,33100,33695.89,595.89,33100
1092,0,Clear,0.94,Medium,1,33323,0,33323,33888.83,565.83,33323
1325,0,Rain,0.44,High,1,33269,66,33335,33635.5,300.5,33335
1332,0,Rain,0.76,Medium,1,33384,44,33428,33919.05,491.05,33428
509,0,Smog,0.95,Low,1,33570,20,33590,34174.42,584.42,33590
1093,0,Clear,0.63,Medium,1,33569,44,33613,33991.85,378.85,33613
1102,0,Rain,0.86,Medium,1,33829,0,33829,34378.73,549.73,33829
1349,0,Smog,0.45,High,1,33875,16,33891,34176.08,285.08,33891
1461,0,Clear,0.98,High,1,34096,0,34096,34686.49,590.49,34096
1394,0,Clear,0.79,High,1,34392,0,34392,34868.8,476.8,34392
1388,0,Clear,0.75,Low,1,34423,0,34423,34870.4,447.4,34423
519,0,Clear,0.5,High,1,34556,0,34556,34856.35,300.35,34556
530,0,Clear,0.35,High,1,34699,0,34699,34906.42,207.42,34699
1413,0,Clear,0.87,High,1,34801,0,34801,35325.83,524.83,34801
1487,0,Clear,0.81,High,1,34939,22,34961,35448.2,487.2,34961
1123,0,Heatwave,0.96,Medium,1,34979,0,34979,35578.6,599.6,34979
532,0,Clear,0.7,Medium,1,35014,29,35043,35465.78,422.78,35043
1131,0,Clear,0.77,Medium,1,35068,40,35108,35568.43,460.43,35108
1434,0,Heatwave,0.33,Medium,1,35145,12,35157,35377.97,220.97,35157
525,0,Clear,0.95,Medium,1,35309,0,35309,35879.91,570.91,35309
1466,0,Heatwave,0.77,Medium,1,35310,0,35310,35795.32,485.32,35310
529,0,Rain,0.38,High,1,35471,67,35538,35802.69,264.69,35538
1174,0,Clear,0.4,High,1,35632,0,35632,35870.34,238.34,35632
1197,0,Clear,0.59,Medium,1,35775,31,35806,36158.11,352.11,35806
543,0,Rain,0.79,High,1,35858,63,35921,36428.22,507.22,35921
540,0,Clear,0.87,High,1,35929,58,35987,36510.32,523.32,35987
1209,0,Clear,0.59,Medium,1,36106,0,36106,36461.83,355.83,36106
1522,0,Clear,0.72,High,1,36111,0,36111,36544.47,433.47,36111
1514,0,Clear,0.47,High,1,36154,59,36213,36495.33,282.33,36213
1215,0,Clear,0.83,High,1,36384,0,36384,36881.39,497.39,36384
1552,0,Clear,0.81,Medium,1,36436,39,36475,36961.42,486.42,36475
557,0,Rain,0.83,High,1,37232,0,37232,37767.99,535.99,37232
1545,0,Smog,0.62,High,1,37283,15,37298,37682.95,384.95,37298
558,0,Rain,0.3,Medium,1,37611,0,37611,37829.37,218.37,37611
1561,0,Clear,0.64,Low,1,37742,0,37742,38124.44,382.44,37742
1622,0,Clear,0.79,Medium,1,38295,0,38295,38769.79,474.79,38295
1609,0,Smog,0.7,High,1,38299,18,38317,38754.92,437.92,38317
1584,0,Smog,0.93,High,1,38364,0,38364,38937.6,573.6,38364
578,0,Clear,0.34,High,1,38356,47,38403,38609.36,206.36,38403
1590,0,Heatwave,0.7,High,1,38606,66,38672,39110.43,438.43,38672
1598,0,Smog,0.88,High,1,38681,0,38681,39222.66,541.66,38681
1624,0,Fog,0.69,Medium,1,38696,0,38696,39154.38,458.38,38696
580,0,Clear,0.47,Medium,1,38739,36,38775,39057.96,282.96,38775
1629,0,Rain,0.96,Medium,1,38995,15,39010,39619.85,609.85,39010
1630,0,Heatwave,0.68,Low,1,39098,43,39141,39569.6,428.6,39141
1328,0,Clear,0.45,Low,1,39235,49,39284,39555.78,271.78,39284
1635,0,Heatwave,0.43,Medium,1,39341,0,39341,39620.58,279.58,39341
586,0,Clear,0.67,Medium,1,39573,0,39573,39976.33,403.33,39573
1623,0,Clear,0.81,Medium,1,39598,0,39598,40083.84,485.84,39598
583,0,Fog,0.75,Medium,1,39625,0,39625,40120.59,495.59,39625
587,0,Clear,0.34,Low,1,39609,44,39653,39855.34,202.34,39653
1640,0,Clear,0.48,Medium,1,39871,27,39898,40183.51,285.51,39898
1669,0,Heatwave,0.46,Low,1,40158,0,40158,40456.9,298.9,40158
1655,0,Rain,0.74,High,1,40200,31,40231,40712.18,481.18,40231
596,0,Heatwave,0.83,Low,1,40259,35,40294,40814.83,520.83,40294
1676,0,Fog,0.92,High,1,40386,0,40386,40980.99,594.99,40386
1356,0,Smog,0.61,High,1,40496,51,40547,40926.39,379.39,40547
1674,0,Clear,0.31,High,1,40740,0,40740,40924.09,184.09,40740
1687,0,Clear,0.64,Medium,1,41062,0,41062,41446.48,384.48,41062
1694,0,Fog,0.5,High,1,41075,0,41075,41421.23,346.23,41075
613,0,Fog,0.52,Low,1,41102,0,41102,41457.06,355.06,41102
632,0,Clear,0.35,Medium,1,41393,0,41393,41602.1,209.1,41393
1697,0,Clear,0.58,High,1,41389,10,41399,41745.59,346.59,41399
629,0,Rain,0.84,High,1,41432,0,41432,41973.23,541.23,41432
1715,0,Clear,0.45,Low,1,41636,51,41687,41955.15,268.15,41687
1725,0,Clear,0.72,Medium,1,41860,24,41884,42316.39,432.39,41884
637,0,Clear,0.8,Medium,1,41938,20,41958,42439.37,481.37,41958
1392,0,Clear,0.95,Low,1,41961,37,41998,42566.87,568.87,41998
1387,0,Clear,0.54,High,1,42034,0,42034,42360.32,326.32,42034
1719,0,Heatwave,0.74,High,1,42258,0,42258,42722.31,464.31,42258
647,0,Heatwave,0.44,High,1,42695,0,42695,42978.77,283.77,42695
659,0,Clear,0.69,High,1,42719,0,42719,43131.99,412.99,42719
652,0,Heatwave,0.56,High,1,42683,68,42751,43105.95,354.95,42751
1407,0,Clear,0.59,Low,1,42895,32,42927,43278.6,351.6,42927
664,0,Rain,0.62,Low,1,42998,0,42998,43408.24,410.24,42998
1735,0,Clear,0.89,Medium,1,42980,55,43035,43566.46,531.46,43035
1410,0,Clear,0.88,Medium,1,43131,19,43150,43680.76,530.76,43150
1752,0,Fog,0.36,Medium,1,43223,40,43263,43522.75,259.75,43263
1753,0,Clear,0.4,High,1,43363,0,43363,43604.92,241.92,43363
665,0,Heatwave,0.35,Low,1,43353,69,43422,43654.69,232.69,43422
1440,0,Clear,0.47,Low,1,43682,0,43682,43964.98,282.98,43682
1773,0,Clear,0.38,Medium,1,43655,47,43702,43932.73,230.73,43702
675,0,Heatwave,0.78,Low,1,43703,0,43703,44191.79,488.79,43703
1776,0,Clear,0.6,Low,1,43671,36,43707,44067.89,360.89,43707
1761,0,Clear,0.59,High,1,43932,0,43932,44286.49,354.49,43932
1785,0,Clear,0.76,Medium,1,44014,0,44014,44471.68,457.68,44014
1764,0,Heatwave,0.43,Medium,1,44111,44,44155,44434.97,279.97,44155
683,0,Heatwave,0.44,High,1,44181,0,44181,44464.01,283.01,44181
1796,0,Clear,0.9,Low,1,44296,56,44352,44890.06,538.06,44352
695,0,Fog,0.64,High,1,44471,10,44481,44910.94,429.94,44481
694,0,Fog,0.47,High,1,44497,14,44511,44836.43,325.43,44511
1822,0,Clear,0.67,High,1,44682,17,44699,45102.64,403.64,44699
696,0,Clear,0.92,Medium,1,44664,61,44725,45275.94,550.94,44725
703,0,Clear,0.39,Medium,1,44902,0,44902,45138.67,236.67,44902
1815,0,Heatwave,0.52,Low,1,45052,0,45052,45387.19,335.19,45052
1492,0,Smog,0.41,High,1,45127,0,45127,45385.05,258.05,45127
716,0,Rain,0.98,Low,1,45331,0,45331,45957.71,626.71,45331
1834,0,Rain,0.31,High,1,45297,40,45337,45556.89,219.89,45337
1830,0,Rain,0.89,Medium,1,45508,28,45536,46103.84,567.84,45536
721,0,Clear,0.89,Low,1,45664,0,45664,46199.28,535.28,45664
1833,0,Smog,0.38,Medium,1,45769,11,45780,46023.84,243.84,45780
1518,0,Clear,0.47,Medium,1,45799,29,45828,46111.4,283.4,45828
1521,0,Clear,0.5,Low,1,46083,57,46140,46439.01,299.01,46140
724,0,Clear,0.5,Medium,1,46168,12,46180,46481.61,301.61,46180
729,0,Smog,0.36,High,1,46291,0,46291,46520.39,229.39,46291
1850,0,Clear,0.51,High,1,46350,68,46418,46722.21,304.21,46418
1891,0,Fog,0.7,High,1,46602,0,46602,47065.72,463.72,46602
1866,0,Clear,0.54,High,1,46637,31,46668,46993.11,325.11,46668
1563,0,Clear,0.81,Medium,1,46802,40,46842,47328.03,486.03,46842
736,0,Rain,0.35,High,1,47004,33,47037,47281.85,244.85,47037
1564,0,Smog,0.36,Medium,1,47004,61,47065,47295.04,230.04,47065
1875,0,Fog,0.85,High,1,47016,60,47076,47629.9,553.9,47076
728,0,Clear,0.4,High,1,47199,61,47260,47499.7,239.7,47260
1572,0,Clear,0.53,Medium,1,47248,26,47274,47593.48,319.48,47274
1880,0,Clear,0.42,High,1,47494,0,47494,47743.73,249.73,47494
1878,0,Smog,0.47,Low,1,47463,53,47516,47814.92,298.92,47516
744,0,Clear,0.6,Medium,1,47700,63,47763,48125.03,362.03,47763
748,0,Clear,0.91,Low,1,47750,25,47775,48318.23,543.23,47775
1895,0,Clear,0.96,Medium,1,47801,15,47816,48393.6,577.6,47816
1896,0,Fog,0.43,High,1,47886,0,47886,48186.66,300.66,47886
1596,0,Smog,0.83,Medium,1,47918,0,47918,48429.36,511.36,47918
1910,0,Heatwave,0.8,High,1,47878,47,47925,48423.16,498.16,47925
1602,0,Clear,0.72,Medium,1,48049,0,48049,48481.29,432.29,48049
740,0,Rain,0.73,Low,1,48153,0,48153,48627.56,474.56,48153
1925,0,Rain,0.79,High,1,48235,0,48235,48744.66,509.66,48235
755,0,Heatwave,0.92,Low,1,48254,0,48254,48829.9,575.9,48254
1982,0,Clear,0.66,High,1,48299,0,48299,48696.68,397.68,48299
758,0,Clear,0.96,High,1,48405,0,48405,48980.54,575.54,48405
1985,0,Heatwave,0.39,High,1,48464,0,48464,48717.84,253.84,48464
756,0,Clear,0.58,Low,1,48641,0,48641,48990.41,349.41,48641
1964,0,Clear,0.73,Low,1,48802,0,48802,49241.03,439.03,48802
1965,0,Clear,0.52,High,1,48761,55,48816,49130.36,314.36,48816
767,0,Clear,0.49,High,1,48809,28,48837,49131.09,294.09,48837
1996,0,Rain,0.8,Medium,1,48847,69,48916,49429.41,513.41,48916
1632,0,Clear,0.69,High,1,48986,23,49009,49425.68,416.68,49009
770,0,Clear,0.3,High,1,49048,19,49067,49247.8,180.8,49067
