order_id,weather,traffic_index,rider_density,zone,hour_of_day,weather_friction,traffic_friction,rider_density_friction,zone_congestion,hour_friction,ambient_friction_multiplier
98,Clear,0.69,High,Noida Sector 18,20,1.0104,1.107,0.95,1.1,1.22,1.448
120,Smog,0.97,Medium,Gurgaon CyberHub,18,1.0596,1.242,1.0,1.15,1.1,1.6144
194,Heatwave,0.42,Low,Lajpat Nagar,11,1.1017,1.042,1.12,1.18,1.08,1.6405
59,Fog,0.85,Medium,Rohini,21,1.1962,1.17,1.0,1.06,1.2,1.713
210,Rain,0.69,High,Dwarka,7,1.1676,1.107,0.95,1.05,1.02,1.3293
142,Smog,0.35,Medium,Connaught Place,23,1.0072,1.035,1.0,1.2,1.05,1.2773
152,Fog,0.54,Medium,Lajpat Nagar,13,1.0613,1.062,1.0,1.18,1.18,1.5496
222,Clear,0.37,Medium,Faridabad,8,1.0239,1.037,1.0,1.04,1.04,1.1396
163,Smog,0.41,High,Dwarka,13,1.1234,1.041,0.95,1.05,1.18,1.3581
168,Clear,0.7,Low,Connaught Place,12,0.9824,1.11,1.12,1.2,1.15,1.6915
62,Rain,0.35,Low,Lajpat Nagar,15,1.0853,1.035,1.12,1.18,1.05,1.559
63,Heatwave,0.89,Low,Saket,21,1.1054,1.194,1.12,1.08,1.2,1.8704
180,Clear,0.43,Medium,Connaught Place,8,1.0079,1.043,1.0,1.2,1.04,1.339
225,Clear,0.37,High,Lajpat Nagar,11,0.9706,1.037,0.95,1.18,1.08,1.2168
181,Smog,0.69,High,Noida Sector 18,9,1.0478,1.107,0.95,1.1,1.05,1.2927
196,Clear,0.56,High,Dwarka,16,0.9702,1.068,0.95,1.05,1.04,1.0587
64,Fog,0.35,High,Gurgaon CyberHub,21,1.1087,1.035,0.95,1.15,1.2,1.4715
158,Smog,0.62,High,Saket,19,1.0471,1.086,0.95,1.08,1.18,1.3852
70,Clear,0.9,Low,Noida Sector 18,18,0.9936,1.2,1.12,1.1,1.1,1.5709
161,Fog,0.71,Medium,Gurgaon CyberHub,19,1.1129,1.113,1.0,1.15,1.18,1.6318
169,Clear,0.55,Low,Saket,0,1.001,1.065,1.12,1.08,1.02,1.3342
71,Rain,0.56,High,Noida Sector 18,12,1.1174,1.068,0.95,1.1,1.15,1.3864
177,Clear,0.53,Medium,Lajpat Nagar,9,1.0399,1.059,1.0,1.18,1.05,1.3383
275,Clear,0.43,Medium,Faridabad,12,1.0012,1.043,1.0,1.04,1.15,1.2046
235,Clear,0.4,Medium,Saket,21,0.9995,1.04,1.0,1.08,1.2,1.352
278,Smog,0.77,High,Rohini,11,1.035,1.131,0.95,1.06,1.08,1.2638
184,Clear,0.57,High,Rohini,19,0.9802,1.071,0.95,1.06,1.18,1.2267
198,Clear,0.38,High,Noida Sector 18,23,1.0037,1.038,0.95,1.1,1.05,1.1125
259,Clear,0.76,High,Saket,22,1.0388,1.128,0.95,1.08,1.1,1.298
266,Fog,0.62,Medium,Rohini,21,1.138,1.086,1.0,1.06,1.2,1.5386
83,Clear,0.91,Medium,Noida Sector 18,10,1.0031,1.206,1.0,1.1,1.06,1.4296
217,Smog,0.68,Low,Saket,14,1.0369,1.104,1.12,1.08,1.12,1.5046
224,Clear,0.77,Low,Saket,19,1.0121,1.131,1.12,1.08,1.18,1.6529
249,Clear,0.43,Medium,Rohini,19,1.001,1.043,1.0,1.06,1.18,1.2961
87,Clear,0.62,Low,Saket,20,1.0131,1.086,1.12,1.08,1.22,1.621
281,Heatwave,0.53,Low,Saket,18,1.0576,1.059,1.12,1.08,1.1,1.4956
96,Clear,0.59,Low,Gurgaon CyberHub,20,0.9956,1.077,1.12,1.15,1.22,1.7102
111,Heatwave,0.57,Medium,Lajpat Nagar,18,1.1069,1.071,1.0,1.18,1.1,1.4836
306,Heatwave,0.43,Medium,Rohini,11,1.1099,1.043,1.0,1.06,1.08,1.3344
335,Clear,0.6,High,Lajpat Nagar,10,1.0178,1.08,0.95,1.18,1.06,1.2791
304,Heatwave,0.74,Medium,Faridabad,10,1.0644,1.122,1.0,1.04,1.06,1.3158
319,Heatwave,0.76,Low,Lajpat Nagar,9,1.1255,1.128,1.12,1.18,1.05,1.7908
276,Rain,0.34,Medium,Faridabad,13,1.1625,1.034,1.0,1.04,1.18,1.4694
321,Clear,0.47,Low,Saket,19,0.9965,1.047,1.12,1.08,1.18,1.4583
113,Smog,0.33,Medium,Noida Sector 18,19,1.0426,1.033,1.0,1.1,1.18,1.4248
318,Clear,0.39,High,Faridabad,12,0.9958,1.039,0.95,1.04,1.15,1.1893
118,Clear,0.83,Low,Dwarka,18,0.9693,1.158,1.12,1.05,1.1,1.4645
372,Smog,0.9,Low,Noida Sector 18,19,1.0923,1.2,1.12,1.1,1.18,1.9535
337,Clear,0.6,Low,Rohini,11,0.9935,1.08,1.12,1.06,1.08,1.3787
338,Clear,0.96,Medium,Faridabad,13,0.9787,1.236,1.0,1.04,1.18,1.4601
349,Clear,0.91,High,Rohini,11,0.9642,1.206,0.95,1.06,1.08,1.2768
366,Clear,0.9,High,Noida Sector 18,14,1.0285,1.2,0.95,1.1,1.12,1.411
140,Heatwave,0.8,Low,Rohini,20,1.0356,1.14,1.12,1.06,1.22,1.7347
413,Fog,0.92,High,Gurgaon CyberHub,14,1.079,1.212,0.95,1.15,1.12,1.6156
382,Clear,0.31,Medium,Dwarka,2,1.0199,1.031,1.0,1.05,1.0,1.0985
143,Clear,0.84,High,Rohini,19,1.0058,1.164,0.95,1.06,1.18,1.4123
383,Heatwave,0.43,Medium,Dwarka,20,1.1198,1.043,1.0,1.05,1.22,1.5671
427,Rain,0.61,High,Saket,11,1.2475,1.083,0.95,1.08,1.08,1.5024
386,Rain,0.79,High,Lajpat Nagar,20,1.1499,1.137,0.95,1.18,1.22,1.8052
146,Rain,0.44,High,Connaught Place,15,1.1696,1.044,0.95,1.2,1.05,1.4752
401,Fog,0.77,High,Connaught Place,14,1.1194,1.131,0.95,1.2,1.12,1.6239
153,Clear,0.65,Low,Noida Sector 18,21,1.0179,1.095,1.12,1.1,1.2,1.6368
460,Smog,0.71,High,Connaught Place,19,1.1504,1.113,0.95,1.2,1.18,1.7672
157,Smog,0.67,Medium,Saket,16,1.0388,1.101,1.0,1.08,1.04,1.2405
488,Clear,0.68,High,Saket,16,1.0023,1.104,0.95,1.08,1.04,1.1861
154,Clear,0.69,Low,Noida Sector 18,19,0.9877,1.107,1.12,1.1,1.18,1.6305
406,Clear,0.97,Medium,Faridabad,17,0.968,1.242,1.0,1.04,1.06,1.3082
493,Clear,0.41,Low,Gurgaon CyberHub,16,0.9917,1.041,1.12,1.15,1.04,1.4358
495,Clear,0.5,Low,Noida Sector 18,21,1.0208,1.05,1.12,1.1,1.2,1.6086
463,Smog,0.62,High,Dwarka,18,1.1219,1.086,0.95,1.05,1.1,1.333
159,Smog,0.83,Low,Rohini,11,1.134,1.158,1.12,1.06,1.08,1.7168
515,Rain,0.94,Medium,Noida Sector 18,15,1.1899,1.224,1.0,1.1,1.05,1.6717
165,Heatwave,0.49,Medium,Saket,12,1.0714,1.049,1.0,1.08,1.15,1.4484
524,Rain,0.54,High,Saket,12,1.2396,1.062,0.95,1.08,1.15,1.5245
473,Fog,0.6,Low,Rohini,20,1.1097,1.08,1.12,1.06,1.22,1.7876
474,Heatwave,0.85,Low,Gurgaon CyberHub,19,1.0659,1.17,1.12,1.15,1.18,1.8793
542,Smog,0.32,Low,Noida Sector 18,21,1.0305,1.032,1.12,1.1,1.2,1.5811
448,Clear,0.46,Medium,Noida Sector 18,11,0.9885,1.046,1.0,1.1,1.08,1.1884
564,Rain,0.33,High,Connaught Place,12,1.1691,1.033,0.95,1.2,1.15,1.5061
567,Clear,0.94,Low,Rohini,19,0.9891,1.224,1.12,1.06,1.18,1.7428
182,Heatwave,0.41,Medium,Rohini,0,1.0591,1.041,1.0,1.06,1.02,1.1625
520,Clear,0.97,Medium,Saket,20,1.013,1.242,1.0,1.08,1.22,1.7021
186,Clear,0.58,Low,Gurgaon CyberHub,18,1.028,1.074,1.12,1.15,1.1,1.5578
507,Clear,0.34,Medium,Rohini,7,1.0479,1.034,1.0,1.06,1.02,1.1686
490,Heatwave,1.0,Low,Connaught Place,15,1.0955,1.26,1.12,1.2,1.05,2.019
548,Rain,0.95,Low,Dwarka,1,1.224,1.23,1.12,1.05,1.01,1.7307
511,Clear,0.97,Low,Rohini,12,1.0021,1.242,1.12,1.06,1.15,1.6927
521,Heatwave,0.44,Low,Noida Sector 18,14,1.0342,1.044,1.12,1.1,1.12,1.472
622,Clear,0.83,High,Rohini,15,0.9977,1.158,0.95,1.06,1.05,1.2155
627,Smog,0.71,Low,Saket,14,1.0236,1.113,1.12,1.08,1.12,1.4971
574,Smog,0.62,Medium,Gurgaon CyberHub,17,1.1124,1.086,1.0,1.15,1.06,1.4666
661,Rain,0.63,Medium,Saket,3,1.2133,1.089,1.0,1.08,1.0,1.4104
581,Clear,0.67,Low,Dwarka,11,0.9812,1.101,1.12,1.05,1.08,1.3773
223,Clear,0.53,High,Faridabad,14,0.9811,1.059,0.95,1.04,1.12,1.1312
228,Fog,0.43,High,Lajpat Nagar,18,1.1459,1.043,0.95,1.18,1.1,1.4931
229,Fog,0.99,Low,Faridabad,3,1.1881,1.254,1.12,1.04,1.0,1.7488
710,Clear,0.54,High,Dwarka,20,1.0271,1.062,0.95,1.05,1.22,1.3153
230,Heatwave,0.98,Medium,Rohini,11,1.0881,1.248,1.0,1.06,1.08,1.5678
742,Clear,0.88,Medium,Connaught Place,18,0.9897,1.188,1.0,1.2,1.1,1.5521
239,Rain,0.67,Medium,Noida Sector 18,22,1.2968,1.101,1.0,1.1,1.1,1.7495
242,Fog,0.35,Low,Rohini,11,1.0939,1.035,1.12,1.06,1.08,1.4857
254,Heatwave,0.6,Low,Lajpat Nagar,10,1.0666,1.08,1.12,1.18,1.06,1.6263
245,Clear,0.85,Low,Faridabad,9,1.0009,1.17,1.12,1.04,1.05,1.3904
677,Clear,0.43,Low,Saket,19,1.0033,1.043,1.12,1.08,1.18,1.5064
680,Clear,0.62,Medium,Rohini,23,0.9967,1.086,1.0,1.06,1.05,1.1949
260,Fog,0.85,High,Rohini,22,1.098,1.17,0.95,1.06,1.1,1.4168
268,Clear,1.0,Medium,Connaught Place,13,0.994,1.26,1.0,1.2,1.18,1.8089
818,Smog,0.41,Medium,Saket,21,1.111,1.041,1.0,1.08,1.2,1.5163
672,Smog,0.44,High,Connaught Place,22,1.066,1.044,0.95,1.2,1.1,1.4068
725,Fog,0.9,High,Rohini,9,1.136,1.2,0.95,1.06,1.05,1.4626
678,Smog,0.61,Medium,Dwarka,21,1.1522,1.083,1.0,1.05,1.2,1.6016
679,Heatwave,0.69,High,Noida Sector 18,3,1.1469,1.107,0.95,1.1,1.0,1.3634
282,Clear,0.41,High,Rohini,19,1.0291,1.041,0.95,1.06,1.18,1.2276
289,Clear,0.76,High,Noida Sector 18,20,0.9965,1.128,0.95,1.1,1.22,1.3761
287,Clear,0.98,Medium,Faridabad,18,1.0308,1.248,1.0,1.04,1.1,1.4501
761,Clear,0.96,Medium,Gurgaon CyberHub,18,1.0186,1.236,1.0,1.15,1.1,1.5512
765,Clear,0.35,Medium,Lajpat Nagar,23,0.9827,1.035,1.0,1.18,1.05,1.2652
698,Clear,0.38,Medium,Rohini,21,1.0337,1.038,1.0,1.06,1.2,1.3317
295,Clear,0.78,Medium,Faridabad,23,1.0289,1.134,1.0,1.04,1.05,1.2638
867,Fog,0.36,Low,Connaught Place,21,1.0921,1.036,1.12,1.2,1.2,1.7618
773,Rain,0.64,High,Noida Sector 18,13,1.2356,1.092,0.95,1.1,1.18,1.7173
717,Rain,0.83,Medium,Dwarka,16,1.1899,1.158,1.0,1.05,1.04,1.489
298,Clear,0.51,High,Faridabad,21,1.0127,1.053,0.95,1.04,1.2,1.2444
301,Clear,0.85,High,Saket,12,0.9696,1.17,0.95,1.08,1.15,1.3513
299,Clear,0.31,High,Noida Sector 18,19,0.9931,1.031,0.95,1.1,1.18,1.2792
923,Heatwave,0.33,High,Lajpat Nagar,23,1.1316,1.033,0.95,1.18,1.05,1.3796
749,Clear,0.68,Medium,Saket,9,0.9726,1.104,1.0,1.08,1.05,1.2008
843,Clear,0.44,Low,Gurgaon CyberHub,20,1.02,1.044,1.12,1.15,1.22,1.6812
314,Smog,0.37,Low,Rohini,6,1.1502,1.037,1.12,1.06,1.01,1.4759
317,Smog,0.46,High,Connaught Place,16,1.0888,1.046,0.95,1.2,1.04,1.3777
750,Rain,0.84,High,Dwarka,17,1.1859,1.164,0.95,1.05,1.06,1.4862
955,Rain,0.6,Medium,Connaught Place,11,1.1179,1.08,1.0,1.2,1.08,1.5929
768,Clear,0.55,Medium,Rohini,14,0.986,1.065,1.0,1.06,1.12,1.2544
333,Smog,0.71,Low,Noida Sector 18,11,0.9804,1.113,1.12,1.1,1.08,1.4476
988,Fog,0.69,Medium,Connaught Place,14,1.0819,1.107,1.0,1.2,1.12,1.5706
339,Heatwave,0.97,Low,Faridabad,10,1.0817,1.242,1.12,1.04,1.06,1.6592
887,Heatwave,0.53,High,Dwarka,17,1.0646,1.059,0.95,1.05,1.06,1.2079
334,Clear,0.7,High,Lajpat Nagar,19,1.0428,1.11,0.95,1.18,1.18,1.5849
900,Fog,0.86,Medium,Gurgaon CyberHub,21,1.0734,1.176,1.0,1.15,1.2,1.707
994,Clear,0.74,Medium,Saket,0,0.9879,1.122,1.0,1.08,1.02,1.208
788,Heatwave,0.68,High,Faridabad,15,1.0838,1.104,0.95,1.04,1.05,1.2047
904,Clear,0.36,Medium,Saket,19,0.9959,1.036,1.0,1.08,1.18,1.3119
1017,Clear,0.91,Medium,Connaught Place,9,1.0097,1.206,1.0,1.2,1.05,1.5725
351,Clear,0.45,Medium,Noida Sector 18,21,0.9889,1.045,1.0,1.1,1.2,1.3683
353,Smog,0.47,High,Noida Sector 18,7,1.1958,1.047,0.95,1.1,1.02,1.3298
347,Clear,0.63,High,Dwarka,12,0.9624,1.089,0.95,1.05,1.15,1.2101
936,Smog,0.54,High,Connaught Place,21,1.0394,1.062,0.95,1.2,1.2,1.4191
953,Clear,0.6,Medium,Connaught Place,23,0.9585,1.08,1.0,1.2,1.05,1.2838
822,Clear,0.79,Medium,Dwarka,14,0.9803,1.137,1.0,1.05,1.12,1.3779
1045,Smog,0.33,Low,Lajpat Nagar,13,1.0724,1.033,1.12,1.18,1.18,1.7646
1063,Smog,0.36,Medium,Lajpat Nagar,21,1.0943,1.036,1.0,1.18,1.2,1.6075
847,Heatwave,0.9,Low,Faridabad,20,1.1553,1.2,1.12,1.04,1.22,1.9064
388,Fog,0.36,Low,Rohini,23,1.1763,1.036,1.12,1.06,1.05,1.5096
1080,Clear,0.9,Low,Faridabad,0,1.0147,1.2,1.12,1.04,1.02,1.4464
393,Clear,0.71,Medium,Lajpat Nagar,12,0.9937,1.113,1.0,1.18,1.15,1.5206
1002,Clear,0.7,Low,Lajpat Nagar,11,0.9855,1.11,1.12,1.18,1.08,1.5277
391,Heatwave,0.74,High,Faridabad,10,1.0685,1.122,0.95,1.04,1.06,1.2814
1104,Clear,0.56,Medium,Faridabad,11,0.947,1.068,1.0,1.04,1.08,1.1437
872,Clear,0.95,Medium,Saket,9,1.0167,1.23,1.0,1.08,1.05,1.4579
1107,Smog,0.84,Medium,Connaught Place,12,1.1053,1.164,1.0,1.2,1.15,1.8029
877,Smog,0.71,Low,Rohini,13,1.0799,1.113,1.12,1.06,1.18,1.6729
403,Clear,0.92,High,Gurgaon CyberHub,10,0.9952,1.212,0.95,1.15,1.06,1.3674
414,Fog,0.31,Medium,Connaught Place,16,1.2074,1.031,1.0,1.2,1.04,1.5732
880,Rain,0.59,High,Faridabad,18,1.2057,1.077,0.95,1.04,1.1,1.4162
422,Smog,0.44,High,Lajpat Nagar,21,1.0612,1.044,0.95,1.18,1.2,1.4282
415,Smog,0.58,Medium,Lajpat Nagar,17,1.0808,1.074,1.0,1.18,1.06,1.4283
893,Clear,0.34,Medium,Noida Sector 18,12,1.0224,1.034,1.0,1.1,1.15,1.3574
424,Fog,0.57,Medium,Faridabad,20,1.217,1.071,1.0,1.04,1.22,1.653
896,Heatwave,0.39,High,Gurgaon CyberHub,21,1.0223,1.039,0.95,1.15,1.2,1.3696
423,Smog,0.85,High,Gurgaon CyberHub,19,1.0766,1.17,0.95,1.15,1.18,1.6234
1141,Heatwave,0.98,Medium,Faridabad,21,1.1061,1.248,1.0,1.04,1.2,1.6424
1177,Rain,0.4,Medium,Rohini,12,1.1289,1.04,1.0,1.06,1.15,1.4084
1148,Clear,0.47,Medium,Faridabad,19,0.9851,1.047,1.0,1.04,1.18,1.2579
1180,Clear,0.92,Low,Gurgaon CyberHub,12,0.986,1.212,1.12,1.15,1.15,1.7413
1147,Clear,0.59,Medium,Dwarka,20,0.992,1.077,1.0,1.05,1.22,1.4091
911,Clear,0.83,Low,Saket,12,0.9751,1.158,1.12,1.08,1.15,1.5855
1187,Smog,0.49,High,Lajpat Nagar,0,1.1546,1.049,0.95,1.18,1.02,1.393
1189,Smog,0.75,Low,Rohini,13,1.1048,1.125,1.12,1.06,1.18,1.7252
445,Clear,0.95,Medium,Noida Sector 18,13,0.9934,1.23,1.0,1.1,1.18,1.6067
957,Heatwave,0.69,Low,Lajpat Nagar,21,1.0098,1.107,1.12,1.18,1.2,1.7804
449,Clear,0.94,High,Gurgaon CyberHub,21,0.9516,1.224,0.95,1.15,1.2,1.4924
980,Rain,0.66,High,Gurgaon CyberHub,9,1.2369,1.098,0.95,1.15,1.05,1.5404
1225,Heatwave,0.45,Medium,Saket,18,1.0658,1.045,1.0,1.08,1.1,1.3519
457,Clear,0.37,High,Connaught Place,10,1.0012,1.037,0.95,1.2,1.06,1.2371
1227,Rain,0.32,Medium,Faridabad,19,1.3469,1.032,1.0,1.04,1.18,1.733
1190,Clear,0.99,High,Saket,9,0.9804,1.254,0.95,1.08,1.05,1.3199
981,Smog,0.58,Low,Noida Sector 18,1,1.0608,1.074,1.12,1.1,1.01,1.4379
1252,Heatwave,0.54,Medium,Saket,19,1.0689,1.062,1.0,1.08,1.18,1.4446
466,Rain,0.84,High,Rohini,21,1.1931,1.164,0.95,1.06,1.2,1.6699
468,Smog,0.84,High,Saket,13,1.0695,1.164,0.95,1.08,1.18,1.525
985,Heatwave,0.6,High,Lajpat Nagar,11,1.035,1.08,0.95,1.18,1.08,1.3623
1241,Rain,0.49,High,Noida Sector 18,15,1.1848,1.049,0.95,1.1,1.05,1.314
990,Clear,0.75,Medium,Gurgaon CyberHub,21,1.0116,1.125,1.0,1.15,1.2,1.5932
478,Rain,0.5,Low,Faridabad,12,1.149,1.05,1.12,1.04,1.15,1.6387
1260,Smog,0.85,Medium,Connaught Place,21,1.083,1.17,1.0,1.2,1.2,1.8246
1301,Clear,0.86,High,Saket,16,0.9978,1.176,0.95,1.08,1.04,1.2452
1296,Clear,0.61,Low,Rohini,15,1.0429,1.083,1.12,1.06,1.05,1.415
476,Rain,0.92,High,Gurgaon CyberHub,21,1.1388,1.212,0.95,1.15,1.2,1.787
486,Heatwave,0.66,Low,Rohini,13,1.0439,1.098,1.12,1.06,1.18,1.5745
1282,Clear,0.82,High,Lajpat Nagar,18,1.0005,1.152,0.95,1.18,1.1,1.3887
1342,Smog,0.69,High,Saket,10,1.1347,1.107,0.95,1.08,1.06,1.3917
1345,Clear,0.32,High,Connaught Place,0,0.989,1.032,0.95,1.2,1.02,1.1856
1294,Clear,0.69,Medium,Faridabad,19,0.968,1.107,1.0,1.04,1.18,1.3049
484,Smog,0.99,Medium,Noida Sector 18,20,1.1268,1.254,1.0,1.1,1.22,1.9079
1062,Fog,0.76,Medium,Rohini,12,1.1432,1.128,1.0,1.06,1.15,1.5567
1363,Heatwave,0.86,Low,Gurgaon CyberHub,9,1.0362,1.176,1.12,1.15,1.05,1.636
1066,Heatwave,0.43,High,Dwarka,19,1.1519,1.043,0.95,1.05,1.18,1.419
491,Smog,0.57,High,Noida Sector 18,15,1.1617,1.071,0.95,1.1,1.05,1.291
1390,Rain,0.71,Low,Saket,19,1.1651,1.113,1.12,1.08,1.18,1.8548
1318,Clear,0.73,High,Connaught Place,6,0.9736,1.119,0.95,1.2,1.01,1.2634
1320,Smog,0.6,High,Saket,20,1.1031,1.08,0.95,1.08,1.22,1.4619
499,Heatwave,0.96,Medium,Noida Sector 18,22,1.0354,1.236,1.0,1.1,1.1,1.5013
1092,Clear,0.94,Medium,Faridabad,12,0.9952,1.224,1.0,1.04,1.15,1.4519
1325,Rain,0.44,High,Lajpat Nagar,13,1.2222,1.044,0.95,1.18,1.18,1.734
1332,Rain,0.76,Medium,Connaught Place,11,1.1815,1.128,1.0,1.2,1.08,1.7245
509,Smog,0.95,Low,Dwarka,21,1.046,1.23,1.12,1.05,1.2,1.8561
1093,Clear,0.63,Medium,Noida Sector 18,12,1.0225,1.089,1.0,1.1,1.15,1.3654
1102,Rain,0.86,Medium,Dwarka,19,1.2618,1.176,1.0,1.05,1.18,1.7913
1349,Smog,0.45,High,Connaught Place,21,1.046,1.045,0.95,1.2,1.2,1.4791
1461,Clear,0.98,High,Gurgaon CyberHub,9,0.9897,1.248,0.95,1.15,1.05,1.424
1394,Clear,0.79,High,Lajpat Nagar,21,0.9922,1.137,0.95,1.18,1.2,1.5235
1388,Clear,0.75,Low,Lajpat Nagar,13,0.9835,1.125,1.12,1.18,1.18,1.7673
519,Clear,0.5,High,Noida Sector 18,20,0.9548,1.05,0.95,1.1,1.22,1.2809
530,Clear,0.35,High,Connaught Place,14,1.0013,1.035,0.95,1.2,1.12,1.3332
1413,Clear,0.87,High,Faridabad,19,1.0131,1.182,0.95,1.04,1.18,1.3631
1487,Clear,0.81,High,Rohini,19,0.9942,1.146,0.95,1.06,1.18,1.3732
1123,Heatwave,0.96,Medium,Dwarka,13,1.1086,1.236,1.0,1.05,1.18,1.7397
532,Clear,0.7,Medium,Saket,20,0.9907,1.11,1.0,1.08,1.22,1.4521
1131,Clear,0.77,Medium,Rohini,9,0.9956,1.131,1.0,1.06,1.05,1.2322
1434,Heatwave,0.33,Medium,Connaught Place,19,1.0873,1.033,1.0,1.2,1.18,1.6294
525,Clear,0.95,Medium,Noida Sector 18,9,1.0178,1.23,1.0,1.1,1.05,1.4597
1466,Heatwave,0.77,Medium,Gurgaon CyberHub,2,1.1147,1.131,1.0,1.15,1.0,1.5034
529,Rain,0.38,High,Faridabad,8,1.1411,1.038,0.95,1.04,1.04,1.1968
1174,Clear,0.4,High,Noida Sector 18,16,0.996,1.04,0.95,1.1,1.04,1.1244
1197,Clear,0.59,Medium,Saket,21,0.9863,1.077,1.0,1.08,1.2,1.3511
543,Rain,0.79,High,Noida Sector 18,17,1.0746,1.137,0.95,1.1,1.06,1.3539
540,Clear,0.87,High,Dwarka,23,1.0172,1.182,0.95,1.05,1.05,1.2755
1209,Clear,0.59,Medium,Gurgaon CyberHub,19,1.0024,1.077,1.0,1.15,1.18,1.4713
1522,Clear,0.72,High,Rohini,17,0.9854,1.116,0.95,1.06,1.06,1.1669
1514,Clear,0.47,High,Dwarka,14,1.0116,1.047,0.95,1.05,1.12,1.1856
1215,Clear,0.83,High,Gurgaon CyberHub,10,1.0138,1.158,0.95,1.15,1.06,1.4073
1552,Clear,0.81,Medium,Gurgaon CyberHub,14,1.0202,1.146,1.0,1.15,1.12,1.5759
557,Rain,0.83,High,Faridabad,14,1.1045,1.158,0.95,1.04,1.12,1.4167
1545,Smog,0.62,High,Dwarka,14,1.0876,1.086,0.95,1.05,1.12,1.385
558,Rain,0.3,Medium,Lajpat Nagar,17,1.1323,1.03,1.0,1.18,1.06,1.4074
1561,Clear,0.64,Low,Connaught Place,0,0.9983,1.092,1.12,1.2,1.02,1.4972
1622,Clear,0.79,Medium,Gurgaon CyberHub,16,0.9573,1.137,1.0,1.15,1.04,1.2603
1609,Smog,0.7,High,Gurgaon CyberHub,9,1.1218,1.11,0.95,1.15,1.05,1.4422
1584,Smog,0.93,High,Saket,19,1.1717,1.218,0.95,1.08,1.18,1.7664
578,Clear,0.34,High,Faridabad,16,0.9827,1.034,0.95,1.04,1.04,1.019
1590,Heatwave,0.7,High,Connaught Place,18,1.0255,1.11,0.95,1.2,1.1,1.4971
1598,Smog,0.88,High,Lajpat Nagar,10,1.1094,1.188,0.95,1.18,1.06,1.56
1624,Fog,0.69,Medium,Rohini,16,1.1438,1.107,1.0,1.06,1.04,1.4228
580,Clear,0.47,Medium,Gurgaon CyberHub,10,0.9938,1.047,1.0,1.15,1.06,1.284
1629,Rain,0.96,Medium,Faridabad,15,1.0854,1.236,1.0,1.04,1.05,1.4552
1630,Heatwave,0.68,Low,Saket,17,1.1068,1.104,1.12,1.08,1.06,1.5538
1328,Clear,0.45,Low,Connaught Place,13,0.9756,1.045,1.12,1.2,1.18,1.5796
1635,Heatwave,0.43,Medium,Dwarka,18,1.0436,1.043,1.0,1.05,1.1,1.3086
586,Clear,0.67,Medium,Faridabad,19,0.9817,1.101,1.0,1.04,1.18,1.3487
1623,Clear,0.81,Medium,Noida Sector 18,10,0.9812,1.146,1.0,1.1,1.06,1.3159
583,Fog,0.75,Medium,Connaught Place,9,1.0554,1.125,1.0,1.2,1.05,1.512
587,Clear,0.34,Low,Saket,19,1.0568,1.034,1.12,1.08,1.18,1.5037
1640,Clear,0.48,Medium,Connaught Place,13,0.9987,1.048,1.0,1.2,1.18,1.4956
1669,Heatwave,0.46,Low,Faridabad,10,1.1241,1.046,1.12,1.04,1.06,1.439
