order_id,merchant_id,zone,cart_items,structural_minimum_time_sec,historical_speed_index
259,NCR_M76553,Saket,1,83.2,1.3
266,NCR_M23898,Rohini,1,350.26,0.83
83,NCR_M68149,Noida Sector 18,1,107.12,1.04
217,NCR_M23484,Saket,1,325.08,1.08
224,NCR_M48556,Saket,1,218.44,1.27
249,NCR_M17160,Rohini,1,307.84,0.74
87,NCR_M80078,Saket,1,410.8,0.79
281,NCR_M35921,Saket,1,509.32,1.07
96,NCR_M92068,Gurgaon CyberHub,1,154.07,0.71
111,NCR_M67122,Lajpat Nagar,1,449.58,1.18
306,NCR_M69480,Rohini,1,456.61,0.77
335,NCR_M89476,Lajpat Nagar,1,414.18,1.18
304,NCR_M19458,Faridabad,1,305.76,0.84
319,NCR_M66558,Lajpat Nagar,1,386.4,0.8
276,NCR_M77190,Faridabad,1,403.2,0.9
321,NCR_M78954,Saket,1,456.96,1.02
113,NCR_M52996,Noida Sector 18,1,390.72,1.11
318,NCR_M40758,Faridabad,1,451.4,1.22
118,NCR_M9693,Dwarka,1,333.61,0.73
372,NCR_M45759,Noida Sector 18,1,299.28,1.16
337,NCR_M72410,Rohini,1,411.14,1.22
338,NCR_M71212,Faridabad,1,179.63,0.71
349,NCR_M65698,Rohini,1,482.36,1.24
366,NCR_M37066,Noida Sector 18,1,84.32,1.24
140,NCR_M92094,Rohini,1,156.62,0.82
413,NCR_M99300,Gurgaon CyberHub,1,190.3,1.1
382,NCR_M32607,Dwarka,1,312.33,0.87
143,NCR_M11535,Rohini,1,209.05,1.13
383,NCR_M94664,Dwarka,1,391.05,0.99
427,NCR_M40398,Saket,1,316.23,1.27
386,NCR_M91388,Lajpat Nagar,1,388.31,1.03
146,NCR_M1017,Connaught Place,1,79.68,0.96
401,NCR_M89790,Connaught Place,1,256.88,1.04
153,NCR_M55592,Noida Sector 18,1,258.52,0.92
460,NCR_M89813,Connaught Place,1,373.5,0.83
157,NCR_M23248,Saket,1,252.88,1.09
488,NCR_M24301,Saket,1,345.45,1.05
154,NCR_M74066,Noida Sector 18,1,425.36,1.04
406,NCR_M82799,Faridabad,1,495.36,1.29
493,NCR_M9269,Gurgaon CyberHub,1,222.53,0.77
495,NCR_M86808,Noida Sector 18,1,371.28,0.78
463,NCR_M12186,Dwarka,1,292.5,0.75
159,NCR_M63705,Rohini,1,57.76,0.76
515,NCR_M86780,Noida Sector 18,1,295.24,1.21
165,NCR_M39100,Saket,1,397.1,1.1
524,NCR_M8572,Saket,1,249.6,0.78
473,NCR_M38045,Rohini,1,431.3,0.95
474,NCR_M51215,Gurgaon CyberHub,1,414.09,1.29
542,NCR_M61229,Noida Sector 18,1,303.45,1.19
448,NCR_M48985,Noida Sector 18,1,515.9,1.1
564,NCR_M40775,Connaught Place,1,329.64,0.82
567,NCR_M2569,Rohini,1,218.79,1.17
182,NCR_M62593,Rohini,1,135.3,1.23
520,NCR_M67564,Saket,1,141.52,1.22
186,NCR_M2696,Gurgaon CyberHub,1,405.79,1.19
507,NCR_M48191,Rohini,1,103.66,0.73
490,NCR_M5259,Connaught Place,1,288.04,0.76
548,NCR_M87539,Dwarka,1,163.71,1.07
511,NCR_M39505,Rohini,1,368.55,0.81
521,NCR_M33160,Noida Sector 18,1,291.72,1.02
622,NCR_M13987,Rohini,1,236.43,0.71
627,NCR_M61859,Saket,1,454.58,1.19
574,NCR_M12667,Gurgaon CyberHub,1,69.35,0.73
661,NCR_M38661,Saket,1,324.0,0.9
581,NCR_M3562,Dwarka,1,438.06,0.98
223,NCR_M26855,Faridabad,1,222.23,0.71
228,NCR_M64506,Lajpat Nagar,1,567.42,0.98
229,NCR_M52252,Faridabad,1,438.96,1.18
710,NCR_M22663,Dwarka,1,195.5,0.85
230,NCR_M8393,Rohini,1,443.29,0.97
742,NCR_M30536,Connaught Place,1,196.8,1.2
239,NCR_M78604,Noida Sector 18,1,494.42,1.18
242,NCR_M52257,Rohini,1,223.6,0.86
254,NCR_M89136,Lajpat Nagar,1,372.4,0.95
245,NCR_M35223,Faridabad,1,185.6,1.28
677,NCR_M77374,Saket,1,435.24,1.24
680,NCR_M79576,Rohini,1,120.75,1.15
260,NCR_M96355,Rohini,1,548.59,1.19
268,NCR_M84652,Connaught Place,1,87.72,0.86
818,NCR_M63336,Saket,1,363.52,0.71
672,NCR_M10966,Connaught Place,1,418.46,0.98
725,NCR_M24539,Rohini,1,168.48,1.17
678,NCR_M70593,Dwarka,1,279.93,0.93
679,NCR_M98019,Noida Sector 18,1,453.87,1.23
282,NCR_M8111,Rohini,1,405.92,1.18
289,NCR_M79310,Noida Sector 18,1,448.2,1.08
287,NCR_M27267,Faridabad,1,259.12,0.79
761,NCR_M52993,Gurgaon CyberHub,1,397.85,1.09
765,NCR_M82949,Lajpat Nagar,1,339.66,1.11
698,NCR_M98807,Rohini,1,358.2,0.9
295,NCR_M6911,Faridabad,1,334.75,1.03
867,NCR_M90983,Connaught Place,1,131.04,1.26
773,NCR_M207,Noida Sector 18,1,320.58,0.78
717,NCR_M87055,Dwarka,1,121.52,0.98
298,NCR_M87898,Faridabad,1,475.73,1.13
301,NCR_M23420,Saket,1,417.69,1.19
299,NCR_M50637,Noida Sector 18,1,125.24,1.24
923,NCR_M50016,Lajpat Nagar,1,200.96,1.28
749,NCR_M54269,Saket,1,396.73,0.97
843,NCR_M87940,Gurgaon CyberHub,1,193.64,1.03
314,NCR_M18142,Rohini,1,476.0,1.12
317,NCR_M80357,Connaught Place,1,247.68,1.29
750,NCR_M71911,Dwarka,1,198.4,1.28
955,NCR_M56045,Connaught Place,1,125.61,0.79
768,NCR_M67215,Rohini,1,347.32,0.76
333,NCR_M33828,Noida Sector 18,1,151.5,1.01
988,NCR_M55821,Connaught Place,1,232.8,0.8
339,NCR_M62624,Faridabad,1,352.8,0.98
887,NCR_M81735,Dwarka,1,560.0,1.0
334,NCR_M75451,Lajpat Nagar,1,344.35,0.97
900,NCR_M93427,Gurgaon CyberHub,1,405.95,1.15
994,NCR_M22300,Saket,1,418.2,1.23
788,NCR_M43586,Faridabad,1,203.81,0.89
904,NCR_M64045,Saket,1,392.69,1.07
1017,NCR_M42558,Connaught Place,1,184.73,0.91
351,NCR_M49081,Noida Sector 18,1,157.78,0.98
353,NCR_M2694,Noida Sector 18,1,361.0,0.76
347,NCR_M95004,Dwarka,1,572.0,1.1
936,NCR_M95260,Connaught Place,1,301.25,1.25
953,NCR_M69164,Connaught Place,1,676.14,1.18
822,NCR_M25940,Dwarka,1,140.4,1.2
1045,NCR_M48926,Lajpat Nagar,1,421.2,1.3
1063,NCR_M42942,Lajpat Nagar,1,361.92,0.96
847,NCR_M21835,Faridabad,1,303.0,1.0
388,NCR_M18048,Rohini,1,115.62,0.94
1080,NCR_M26106,Faridabad,1,359.68,1.28
393,NCR_M75767,Lajpat Nagar,1,222.72,0.87
1002,NCR_M15708,Lajpat Nagar,1,135.42,1.22
391,NCR_M21977,Faridabad,1,114.13,1.13
1104,NCR_M44263,Faridabad,1,382.36,0.79
872,NCR_M23777,Saket,1,339.76,1.24
1107,NCR_M30081,Connaught Place,1,194.81,1.21
877,NCR_M66843,Rohini,1,357.28,1.12
403,NCR_M61374,Gurgaon CyberHub,1,286.38,1.11
414,NCR_M6777,Connaught Place,1,355.47,1.23
880,NCR_M92788,Faridabad,1,416.16,1.02
422,NCR_M55017,Lajpat Nagar,1,185.42,0.73
415,NCR_M9475,Lajpat Nagar,1,72.2,0.76
893,NCR_M58054,Noida Sector 18,1,493.89,1.01
424,NCR_M21960,Faridabad,1,420.82,1.06
896,NCR_M5531,Gurgaon CyberHub,1,268.14,1.23
423,NCR_M94857,Gurgaon CyberHub,1,286.4,0.8
1141,NCR_M3749,Faridabad,1,592.62,1.02
1177,NCR_M97505,Rohini,1,383.68,0.88
1148,NCR_M98099,Faridabad,1,729.3,1.3
1180,NCR_M13546,Gurgaon CyberHub,1,167.2,0.95
1147,NCR_M66200,Dwarka,1,107.52,0.84
911,NCR_M34767,Saket,1,343.68,0.96
1187,NCR_M73531,Lajpat Nagar,1,69.84,0.97
1189,NCR_M93558,Rohini,1,173.95,0.71
445,NCR_M61088,Noida Sector 18,1,340.1,0.95
957,NCR_M95840,Lajpat Nagar,1,446.35,0.79
449,NCR_M68841,Gurgaon CyberHub,1,594.55,1.15
980,NCR_M54385,Gurgaon CyberHub,1,462.28,1.27
1225,NCR_M51006,Saket,1,477.9,0.9
457,NCR_M46577,Connaught Place,1,360.96,0.96
1227,NCR_M39354,Faridabad,1,565.0,1.25
1190,NCR_M62004,Saket,1,284.7,0.73
981,NCR_M83212,Noida Sector 18,1,63.18,0.78
1252,NCR_M52734,Saket,1,325.08,1.29
466,NCR_M65319,Rohini,1,341.24,0.76
468,NCR_M89475,Saket,1,375.82,0.86
985,NCR_M23665,Lajpat Nagar,1,390.6,1.24
1241,NCR_M67173,Noida Sector 18,1,148.32,1.03
990,NCR_M85617,Gurgaon CyberHub,1,370.3,1.15
478,NCR_M93265,Faridabad,1,136.64,1.22
1260,NCR_M26737,Connaught Place,1,205.74,1.27
1301,NCR_M94210,Saket,1,351.12,0.88
1296,NCR_M855,Rohini,1,226.55,1.15
476,NCR_M90085,Gurgaon CyberHub,1,279.24,0.78
486,NCR_M38624,Rohini,1,485.13,1.03
1282,NCR_M7393,Lajpat Nagar,1,333.12,0.96
1342,NCR_M55681,Saket,1,377.42,1.13
1345,NCR_M46718,Connaught Place,1,607.94,1.13
1294,NCR_M87093,Faridabad,1,252.0,0.72
484,NCR_M50860,Noida Sector 18,1,396.55,1.03
1062,NCR_M26310,Rohini,1,294.91,0.77
1363,NCR_M87456,Gurgaon CyberHub,1,437.09,1.09
1066,NCR_M63735,Dwarka,1,338.66,0.82
491,NCR_M70468,Noida Sector 18,1,574.04,1.27
1390,NCR_M52663,Saket,1,555.84,0.96
1318,NCR_M98507,Connaught Place,1,515.84,1.24
1320,NCR_M12689,Saket,1,314.34,0.78
499,NCR_M25343,Noida Sector 18,1,335.5,1.1
1092,NCR_M37158,Faridabad,1,441.49,1.19
1325,NCR_M67864,Lajpat Nagar,1,296.4,0.76
1332,NCR_M52084,Connaught Place,1,226.16,0.88
509,NCR_M65734,Dwarka,1,234.24,0.96
1093,NCR_M89046,Noida Sector 18,1,112.24,0.92
1102,NCR_M34699,Dwarka,1,465.6,0.96
1349,NCR_M80624,Connaught Place,1,241.92,0.96
1461,NCR_M22672,Gurgaon CyberHub,1,341.64,0.73
1394,NCR_M25185,Lajpat Nagar,1,217.8,0.99
1388,NCR_M93385,Lajpat Nagar,1,406.08,1.08
519,NCR_M42108,Noida Sector 18,1,366.08,0.88
530,NCR_M86203,Connaught Place,1,276.66,1.06
1413,NCR_M51664,Faridabad,1,444.08,1.04
1487,NCR_M15709,Rohini,1,351.09,0.83
1123,NCR_M91907,Dwarka,1,174.41,1.07
532,NCR_M49812,Saket,1,376.38,0.82
1131,NCR_M2812,Rohini,1,408.8,1.12
1434,NCR_M56251,Connaught Place,1,80.84,0.94
525,NCR_M72083,Noida Sector 18,1,305.27,0.89
1466,NCR_M34755,Gurgaon CyberHub,1,271.35,0.81
529,NCR_M95743,Faridabad,1,275.52,1.23
1174,NCR_M11412,Noida Sector 18,1,392.7,1.19
1197,NCR_M2912,Saket,1,429.66,0.93
543,NCR_M67271,Noida Sector 18,1,270.9,1.05
540,NCR_M83764,Dwarka,1,256.32,0.96
1209,NCR_M8681,Gurgaon CyberHub,1,329.64,0.82
1522,NCR_M84897,Rohini,1,245.52,0.72
1514,NCR_M83880,Dwarka,1,493.12,0.92
1215,NCR_M71296,Gurgaon CyberHub,1,326.43,1.17
1552,NCR_M88615,Gurgaon CyberHub,1,467.0,1.0
557,NCR_M11112,Faridabad,1,352.98,1.11
1545,NCR_M37505,Dwarka,1,399.0,1.05
558,NCR_M1803,Lajpat Nagar,1,350.96,1.07
1561,NCR_M8156,Connaught Place,1,216.37,0.77
1622,NCR_M73657,Gurgaon CyberHub,1,397.0,1.0
1609,NCR_M39385,Gurgaon CyberHub,1,259.5,0.75
1584,NCR_M47255,Saket,1,142.1,0.98
578,NCR_M21919,Faridabad,1,406.8,1.13
1590,NCR_M85982,Connaught Place,1,445.05,1.15
1598,NCR_M60714,Lajpat Nagar,1,147.6,0.82
1624,NCR_M30307,Rohini,1,548.25,1.29
580,NCR_M16647,Gurgaon CyberHub,1,361.2,1.05
1629,NCR_M46844,Faridabad,1,235.32,0.74
1630,NCR_M96602,Saket,1,46.97,0.77
1328,NCR_M90736,Connaught Place,1,74.48,0.98
1635,NCR_M16372,Dwarka,1,655.0,1.25
586,NCR_M77372,Faridabad,1,268.32,0.78
1623,NCR_M2050,Noida Sector 18,1,403.92,0.88
583,NCR_M31617,Connaught Place,1,404.95,0.89
587,NCR_M20933,Saket,1,135.66,1.02
1640,NCR_M29856,Connaught Place,1,370.24,1.04
1669,NCR_M61435,Faridabad,1,128.64,0.96
1655,NCR_M72695,Gurgaon CyberHub,1,60.04,0.79
596,NCR_M43017,Noida Sector 18,1,392.04,1.08
1676,NCR_M7401,Gurgaon CyberHub,1,409.2,0.88
1356,NCR_M42643,Gurgaon CyberHub,1,91.26,0.78
1674,NCR_M15152,Gurgaon CyberHub,1,651.84,1.12
1687,NCR_M51408,Lajpat Nagar,1,326.23,1.01
1694,NCR_M66691,Gurgaon CyberHub,1,384.02,0.91
613,NCR_M4500,Connaught Place,1,88.11,0.89
632,NCR_M6296,Gurgaon CyberHub,1,446.31,0.81
1697,NCR_M59041,Noida Sector 18,1,280.02,0.78
629,NCR_M12184,Gurgaon CyberHub,1,425.78,1.22
1715,NCR_M29300,Noida Sector 18,1,452.4,1.2
1725,NCR_M12875,Faridabad,1,119.04,0.96
637,NCR_M32712,Saket,1,261.8,1.19
1392,NCR_M5540,Rohini,1,143.38,1.07
1387,NCR_M53352,Faridabad,1,122.22,1.26
1719,NCR_M61268,Rohini,1,661.05,1.13
647,NCR_M48355,Gurgaon CyberHub,1,119.04,0.96
659,NCR_M2558,Connaught Place,1,512.91,1.23
652,NCR_M38361,Noida Sector 18,1,463.75,1.25
1407,NCR_M82019,Saket,1,87.63,1.27
664,NCR_M2201,Gurgaon CyberHub,1,123.19,1.27
1735,NCR_M68498,Saket,1,67.0,1.0
1410,NCR_M46976,Saket,1,268.8,0.84
1752,NCR_M21358,Connaught Place,1,420.0,1.05
1753,NCR_M77506,Gurgaon CyberHub,1,273.0,1.3
665,NCR_M2870,Dwarka,1,394.2,1.08
1440,NCR_M61136,Faridabad,1,424.56,1.22
1773,NCR_M50109,Connaught Place,1,520.29,1.23
675,NCR_M94180,Rohini,1,349.32,0.71
1776,NCR_M90273,Lajpat Nagar,1,391.0,1.0
1761,NCR_M38468,Saket,1,205.4,0.79
1785,NCR_M23329,Connaught Place,1,476.72,1.01
1764,NCR_M91413,Faridabad,1,269.1,0.78
683,NCR_M86832,Noida Sector 18,1,533.52,1.04
1796,NCR_M3988,Rohini,1,321.16,0.74
695,NCR_M58872,Noida Sector 18,1,402.16,0.88
694,NCR_M22400,Faridabad,1,89.1,0.9
1822,NCR_M46215,Lajpat Nagar,1,84.8,0.8
696,NCR_M99523,Lajpat Nagar,1,445.56,0.79
703,NCR_M86417,Connaught Place,1,377.6,1.18
1815,NCR_M70272,Noida Sector 18,1,95.4,0.9
1492,NCR_M44065,Faridabad,1,277.61,0.71
716,NCR_M70092,Faridabad,1,78.75,1.05
1834,NCR_M40819,Gurgaon CyberHub,1,539.26,1.18
1830,NCR_M45526,Saket,1,311.64,0.98
721,NCR_M19831,Faridabad,1,375.24,1.18
1833,NCR_M17430,Gurgaon CyberHub,1,329.7,1.05
1518,NCR_M6894,Saket,1,272.64,1.28
1521,NCR_M79910,Lajpat Nagar,1,356.07,0.83
724,NCR_M47334,Saket,1,229.68,0.72
729,NCR_M3437,Connaught Place,1,246.24,1.08
1850,NCR_M74291,Gurgaon CyberHub,1,275.01,1.03
1891,NCR_M76214,Dwarka,1,96.0,1.0
1866,NCR_M5896,Gurgaon CyberHub,1,445.44,1.28
1563,NCR_M19739,Rohini,1,129.36,0.88
736,NCR_M30747,Dwarka,1,88.0,1.0
1564,NCR_M49378,Gurgaon CyberHub,1,549.1,0.95
1875,NCR_M48405,Rohini,1,199.2,1.2
728,NCR_M54046,Rohini,1,307.33,0.73
1572,NCR_M97889,Rohini,1,419.15,0.83
1880,NCR_M39791,Gurgaon CyberHub,1,381.0,1.0
1878,NCR_M5601,Gurgaon CyberHub,1,571.95,1.23
744,NCR_M94661,Noida Sector 18,1,230.25,0.75
748,NCR_M93180,Lajpat Nagar,1,537.84,1.08
1895,NCR_M40765,Lajpat Nagar,1,68.2,1.1
1896,NCR_M74544,Gurgaon CyberHub,1,421.2,1.2
1596,NCR_M45715,Gurgaon CyberHub,1,292.81,0.89
1910,NCR_M56836,Lajpat Nagar,1,614.04,1.29
1602,NCR_M73745,Gurgaon CyberHub,1,151.38,0.87
740,NCR_M56492,Noida Sector 18,1,287.02,1.13
1925,NCR_M18590,Noida Sector 18,1,256.62,0.94
755,NCR_M43485,Saket,1,404.56,1.04
1982,NCR_M82990,Faridabad,1,210.97,0.73
758,NCR_M36213,Rohini,1,193.32,1.08
1985,NCR_M43526,Lajpat Nagar,1,266.76,0.76
756,NCR_M47203,Saket,1,455.88,1.16
1964,NCR_M32636,Noida Sector 18,1,617.16,1.11
1965,NCR_M63209,Lajpat Nagar,1,252.58,0.73
767,NCR_M33829,Lajpat Nagar,1,282.9,0.82
1996,NCR_M18712,Noida Sector 18,1,374.12,0.94
1632,NCR_M3421,Saket,1,604.52,1.27
770,NCR_M96753,Lajpat Nagar,1,444.0,0.75
766,NCR_M302,Saket,1,221.16,0.76
2016,NCR_M45237,Dwarka,1,315.21,0.79
1673,NCR_M66236,Saket,1,313.02,1.11
2036,NCR_M54241,Noida Sector 18,1,219.0,1.0
785,NCR_M65727,Rohini,1,627.38,1.27
1683,NCR_M10493,Saket,1,134.85,0.93
2046,NCR_M6103,Connaught Place,1,411.6,1.2
2028,NCR_M50337,Lajpat Nagar,1,106.2,0.9
1690,NCR_M85315,Connaught Place,1,402.16,0.88
2053,NCR_M26642,Faridabad,1,365.16,1.02
2042,NCR_M34585,Rohini,1,478.5,1.1
2059,NCR_M32746,Noida Sector 18,1,384.13,1.07
795,NCR_M23094,Rohini,1,119.85,0.85
2065,NCR_M66106,Lajpat Nagar,1,428.4,0.9
2079,NCR_M51886,Noida Sector 18,1,272.65,0.95
2081,NCR_M36632,Dwarka,1,159.0,1.0
796,NCR_M72992,Dwarka,1,115.5,1.1
809,NCR_M4015,Faridabad,1,306.16,0.89
1740,NCR_M11094,Faridabad,1,408.8,1.12
2128,NCR_M18071,Rohini,1,252.0,0.84
808,NCR_M35778,Connaught Place,1,417.6,1.16
2150,NCR_M56959,Saket,1,429.0,1.0
2099,NCR_M82075,Dwarka,1,424.53,0.89
820,NCR_M10730,Connaught Place,1,430.65,0.87
2169,NCR_M99714,Gurgaon CyberHub,1,414.78,0.93
1790,NCR_M45018,Dwarka,1,298.4,0.8
833,NCR_M66321,Noida Sector 18,1,246.44,1.22
844,NCR_M27752,Rohini,1,670.24,1.18
2184,NCR_M78070,Connaught Place,1,375.03,0.81
846,NCR_M54749,Rohini,1,72.75,0.75
2123,NCR_M5802,Faridabad,1,400.83,0.93
845,NCR_M19191,Saket,1,107.01,1.23
2189,NCR_M49690,Dwarka,1,404.56,1.04
2143,NCR_M50994,Gurgaon CyberHub,1,409.05,1.01
1810,NCR_M29593,Faridabad,1,228.6,1.27
1806,NCR_M10648,Gurgaon CyberHub,1,179.01,0.81
1819,NCR_M8717,Lajpat Nagar,1,591.6,1.2
1823,NCR_M88892,Rohini,1,545.22,1.17
865,NCR_M87546,Connaught Place,1,289.0,0.85
866,NCR_M89913,Dwarka,1,443.68,0.94
2176,NCR_M70317,Gurgaon CyberHub,1,355.51,0.73
868,NCR_M2369,Saket,1,165.9,0.79
1839,NCR_M77576,Dwarka,1,220.41,0.79
2199,NCR_M6656,Saket,1,325.55,0.85
1865,NCR_M70032,Faridabad,1,390.0,1.25
1871,NCR_M76430,Rohini,1,316.92,0.76
2227,NCR_M91084,Lajpat Nagar,1,465.34,1.06
892,NCR_M87923,Gurgaon CyberHub,1,368.52,0.83
2292,NCR_M55767,Lajpat Nagar,1,149.81,0.71
2232,NCR_M13404,Dwarka,1,141.12,0.72
889,NCR_M32098,Saket,1,482.46,1.02
1884,NCR_M78658,Rohini,1,331.1,0.86
2313,NCR_M10967,Faridabad,1,336.15,0.81
906,NCR_M99158,Connaught Place,1,334.9,0.85
2265,NCR_M93849,Dwarka,1,427.52,1.28
1888,NCR_M52922,Rohini,1,653.4,1.21
910,NCR_M49727,Rohini,1,344.45,0.83
2334,NCR_M50301,Noida Sector 18,1,254.56,0.86
916,NCR_M22678,Saket,1,322.92,0.92
1919,NCR_M55610,Gurgaon CyberHub,1,246.96,0.98
913,NCR_M96826,Gurgaon CyberHub,1,423.36,0.96
2364,NCR_M56662,Lajpat Nagar,1,245.7,0.9
2376,NCR_M31025,Gurgaon CyberHub,1,234.96,0.89
924,NCR_M70314,Saket,1,126.96,0.92
2401,NCR_M53007,Saket,1,400.98,0.82
934,NCR_M95286,Noida Sector 18,1,130.72,0.86
1953,NCR_M15339,Noida Sector 18,1,253.8,0.9
2393,NCR_M68028,Lajpat Nagar,1,574.75,1.21
2429,NCR_M92773,Connaught Place,1,404.92,1.06
2431,NCR_M80136,Connaught Place,1,467.26,1.22
2413,NCR_M19509,Faridabad,1,299.3,0.82
2427,NCR_M3052,Dwarka,1,77.97,1.13
944,NCR_M48748,Dwarka,1,251.86,0.98
941,NCR_M87143,Lajpat Nagar,1,385.0,1.25
2503,NCR_M87236,Gurgaon CyberHub,1,536.03,1.21
956,NCR_M54022,Saket,1,124.23,1.01
2001,NCR_M66413,Gurgaon CyberHub,1,536.76,1.26
2525,NCR_M58336,Saket,1,417.69,1.17
2468,NCR_M56180,Lajpat Nagar,1,379.68,1.12
2038,NCR_M32094,Lajpat Nagar,1,312.0,0.78
2489,NCR_M69679,Rohini,1,78.0,0.78
2576,NCR_M80739,Connaught Place,1,116.64,1.08
2491,NCR_M39735,Noida Sector 18,1,616.92,1.06
2581,NCR_M72616,Dwarka,1,264.87,0.81
2596,NCR_M73524,Saket,1,95.2,0.8
973,NCR_M94477,Lajpat Nagar,1,263.16,1.02
974,NCR_M17020,Lajpat Nagar,1,216.8,0.8
986,NCR_M83614,Faridabad,1,314.5,0.85
2061,NCR_M91795,Lajpat Nagar,1,291.06,0.98
2622,NCR_M86673,Faridabad,1,456.21,1.11
2076,NCR_M73848,Faridabad,1,124.12,1.07
2564,NCR_M82751,Lajpat Nagar,1,94.08,0.98
2557,NCR_M79635,Lajpat Nagar,1,237.82,0.94
991,NCR_M28252,Dwarka,1,223.44,0.76
2565,NCR_M25946,Lajpat Nagar,1,333.74,0.82
2662,NCR_M90853,Rohini,1,545.3,0.95
2568,NCR_M32218,Lajpat Nagar,1,520.3,1.21
2578,NCR_M8309,Rohini,1,85.56,1.24
2120,NCR_M5950,Faridabad,1,246.96,0.72
2677,NCR_M51991,Rohini,1,565.6,1.01
2595,NCR_M1151,Noida Sector 18,1,283.1,0.95
2148,NCR_M89481,Rohini,1,132.16,1.12
2620,NCR_M74741,Faridabad,1,380.73,1.11
1014,NCR_M66618,Dwarka,1,463.68,1.26
2628,NCR_M94842,Lajpat Nagar,1,422.12,1.22
2756,NCR_M16897,Rohini,1,235.71,0.81
2772,NCR_M46176,Rohini,1,362.34,1.22
2776,NCR_M7806,Rohini,1,108.9,1.1
1030,NCR_M5238,Dwarka,1,282.59,0.77
2815,NCR_M20057,Saket,1,209.05,1.13
2683,NCR_M45544,Gurgaon CyberHub,1,177.84,0.72
2705,NCR_M56557,Rohini,1,383.11,0.91
2836,NCR_M3344,Lajpat Nagar,1,197.96,1.01
2713,NCR_M13501,Saket,1,110.39,0.83
2845,NCR_M53223,Noida Sector 18,1,83.22,1.14
1050,NCR_M29376,Rohini,1,295.68,0.84
2291,NCR_M9663,Noida Sector 18,1,271.92,1.03
2727,NCR_M16965,Noida Sector 18,1,164.85,1.05
2295,NCR_M59639,Connaught Place,1,326.16,1.08
2783,NCR_M73667,Faridabad,1,252.72,0.72
2894,NCR_M85068,Noida Sector 18,1,381.15,0.99
1052,NCR_M67216,Faridabad,1,259.74,0.74
2304,NCR_M69043,Lajpat Nagar,1,352.58,1.22
2302,NCR_M13285,Saket,1,80.08,0.91
2312,NCR_M72790,Noida Sector 18,1,129.63,0.87
2932,NCR_M84665,Connaught Place,1,260.28,1.08
2814,NCR_M93469,Dwarka,1,641.13,1.29
1070,NCR_M61390,Connaught Place,1,523.38,1.22
2327,NCR_M9436,Connaught Place,1,412.0,1.0
2935,NCR_M54341,Lajpat Nagar,1,221.25,0.75
2351,NCR_M44079,Lajpat Nagar,1,183.68,1.12
2945,NCR_M78833,Saket,1,365.0,1.0
