order_id,merchant_id,zone,weather,traffic_index,rider_density,hour_of_day,structural_minimum_time_sec,complexity_delta_sec,ambient_friction_multiplier,merchant_marked_ready_sec,trust_weight,is_anomaly,raw_kpt_sec,kpt_floor_sec,kpt_ceiling_sec,buffer_sec,final_predicted_kpt_sec,final_predicted_kpt_min
89,NCR_M64821,Noida Sector 18,Clear,0.56,High,15,410.13,20,1.2249,440.98,1.0,False,476.05,446.69,496.52,7.0,483.05,8.05
68,NCR_M770,Rohini,Clear,0.46,Low,19,263.72,30,1.423,266.51,1.0,False,350.38,318.84,359.49,29.9,380.28,6.34
104,NCR_M59736,Lajpat Nagar,Heatwave,0.91,High,8,241.02,23,1.4331,251.25,1.0,False,316.06,301.21,333.45,3.15,319.21,5.32
36,NCR_M62956,Lajpat Nagar,Clear,0.38,Low,15,103.02,0,1.4111,159.95,1.0,False,122.38,116.5,128.9,2.0,124.38,2.07
178,NCR_M64926,Saket,Clear,0.52,High,19,165.6,20,1.2646,106.4,0.25,True,218.65,212.09,236.87,23.0,241.65,4.03
44,NCR_M67970,Gurgaon CyberHub,Fog,0.68,Medium,11,630.7,47,1.621,636.56,1.0,False,862.84,836.09,933.3,19.95,882.79,14.71
48,NCR_M5312,Noida Sector 18,Smog,0.67,High,15,175.26,28,1.4179,201.67,1.0,False,242.03,236.47,265.03,31.11,273.14,4.55
119,NCR_M83105,Lajpat Nagar,Fog,0.36,High,18,155.54,65,1.6231,185.25,1.0,False,280.97,256.15,288.56,25.72,306.69,5.11
98,NCR_M53708,Noida Sector 18,Clear,0.69,High,20,68.0,0,1.448,122.56,1.0,False,81.83,75.69,84.69,17.25,99.08,1.65
120,NCR_M85306,Gurgaon CyberHub,Smog,0.97,Medium,18,411.3,32,1.6144,451.05,1.0,False,563.25,525.7,585.78,10.2,573.45,9.56
194,NCR_M28694,Lajpat Nagar,Heatwave,0.42,Low,11,364.87,0,1.6405,396.07,1.0,False,467.33,447.24,496.15,7.35,474.68,7.91
59,NCR_M71933,Rohini,Fog,0.85,Medium,21,580.0,0,1.713,591.09,1.0,False,759.11,740.14,828.7,33.21,792.32,13.21
210,NCR_M93017,Dwarka,Rain,0.69,High,7,165.12,17,1.3293,104.44,0.25,True,219.88,215.05,241.14,35.2,255.08,4.25
142,NCR_M25659,Connaught Place,Smog,0.35,Medium,23,312.66,0,1.2773,209.0,0.25,True,372.12,341.73,383.66,19.38,391.5,6.52
152,NCR_M84479,Lajpat Nagar,Fog,0.54,Medium,13,301.92,17,1.5496,357.23,1.0,False,397.0,359.95,406.53,35.02,432.02,7.2
222,NCR_M18432,Faridabad,Clear,0.37,Medium,8,396.8,0,1.1396,408.56,1.0,False,423.59,412.58,461.72,26.0,449.59,7.49
163,NCR_M2748,Dwarka,Smog,0.41,High,13,451.14,28,1.3581,470.66,1.0,False,558.38,532.13,589.09,3.52,561.9,9.36
168,NCR_M59151,Connaught Place,Clear,0.7,Low,12,299.44,0,1.6915,315.72,1.0,False,389.44,354.39,399.57,29.9,419.34,6.99
62,NCR_M65726,Lajpat Nagar,Rain,0.35,Low,15,379.6,60,1.559,329.41,0.75,False,556.48,530.88,588.01,4.4,560.88,9.35
63,NCR_M84655,Saket,Heatwave,0.89,Low,21,318.0,35,1.8704,350.56,1.0,False,482.77,461.53,511.74,7.25,490.02,8.17
180,NCR_M35774,Connaught Place,Clear,0.43,Medium,8,213.38,23,1.339,261.51,1.0,False,273.53,257.12,285.56,6.0,279.53,4.66
225,NCR_M67436,Lajpat Nagar,Clear,0.37,High,11,423.7,0,1.2168,482.91,1.0,False,467.38,440.11,488.41,5.0,472.38,7.87
181,NCR_M56887,Noida Sector 18,Smog,0.69,High,9,423.9,25,1.2927,355.12,0.75,False,518.86,484.27,539.62,10.2,529.06,8.82
196,NCR_M66804,Dwarka,Clear,0.56,High,16,501.12,0,1.0587,550.05,1.0,False,515.62,486.4,539.34,4.0,519.62,8.66
64,NCR_M31552,Gurgaon CyberHub,Fog,0.35,High,21,384.72,32,1.4715,361.06,0.75,False,513.2,473.85,530.65,19.32,532.52,8.88
158,NCR_M11395,Saket,Smog,0.62,High,19,579.82,0,1.3852,472.01,0.75,False,694.01,663.48,735.65,7.04,701.05,11.68
70,NCR_M69093,Noida Sector 18,Clear,0.9,Low,18,208.28,0,1.5709,215.23,1.0,False,261.05,240.16,269.4,18.0,279.05,4.65
161,NCR_M3891,Gurgaon CyberHub,Fog,0.71,Medium,19,449.28,15,1.6318,412.63,0.75,False,602.07,588.82,660.27,38.64,640.71,10.68
169,NCR_M41607,Saket,Clear,0.55,Low,0,151.59,27,1.3342,155.4,1.0,False,206.28,193.56,215.16,7.0,213.28,3.55
71,NCR_M96277,Noida Sector 18,Rain,0.56,High,12,264.33,0,1.3864,283.84,1.0,False,311.24,289.97,323.37,13.91,325.15,5.42
177,NCR_M80039,Lajpat Nagar,Clear,0.53,Medium,9,591.7,0,1.3383,545.04,0.75,False,696.34,676.84,756.69,23.0,719.34,11.99
275,NCR_M87314,Faridabad,Clear,0.43,Medium,12,274.73,0,1.2046,244.43,0.75,False,307.02,282.97,317.15,19.55,326.57,5.44
235,NCR_M10628,Saket,Clear,0.4,Medium,21,97.79,0,1.352,140.58,1.0,False,113.71,111.09,124.51,35.08,148.79,2.48
278,NCR_M8793,Rohini,Smog,0.77,High,11,617.46,75,1.2638,559.82,0.75,False,790.8,769.45,860.66,24.99,815.79,13.6
184,NCR_M73970,Rohini,Clear,0.57,High,19,387.09,0,1.2267,345.99,0.75,False,436.47,413.92,457.86,1.15,437.62,7.29
198,NCR_M43002,Noida Sector 18,Clear,0.38,High,23,515.28,37,1.1125,540.93,1.0,False,582.52,560.96,624.27,13.0,595.52,9.93
259,NCR_M76553,Saket,Clear,0.76,High,22,83.2,25,1.298,89.67,1.0,False,123.27,120.81,135.6,40.25,163.52,2.73
266,NCR_M23898,Rohini,Fog,0.62,Medium,21,350.26,40,1.5386,388.44,1.0,False,484.08,446.16,500.05,20.53,504.61,8.41
83,NCR_M68149,Noida Sector 18,Clear,0.91,Medium,10,107.12,0,1.4296,137.63,1.0,False,128.08,122.19,135.34,4.0,132.08,2.2
217,NCR_M23484,Saket,Smog,0.68,Low,14,325.08,23,1.5046,154.34,0.25,True,446.47,427.72,474.74,9.38,455.85,7.6
224,NCR_M48556,Saket,Clear,0.77,Low,19,218.44,35,1.6529,263.77,1.0,False,325.84,318.34,356.79,35.08,360.92,6.02
249,NCR_M17160,Rohini,Clear,0.43,Medium,19,307.84,30,1.2961,312.46,1.0,False,384.62,348.72,393.85,33.35,417.97,6.97
87,NCR_M80078,Saket,Clear,0.62,Low,20,410.8,15,1.621,420.47,1.0,False,542.12,496.04,557.84,24.72,566.84,9.45
281,NCR_M35921,Saket,Heatwave,0.53,Low,18,509.32,0,1.4956,327.21,0.25,True,653.43,625.33,693.73,7.35,660.78,11.01
96,NCR_M92068,Gurgaon CyberHub,Clear,0.59,Low,20,154.07,0,1.7102,206.36,1.0,False,201.48,181.67,205.72,38.53,240.01,4.0
111,NCR_M67122,Lajpat Nagar,Heatwave,0.57,Medium,18,449.58,35,1.4836,375.6,0.75,False,599.23,580.05,647.16,18.9,618.13,10.3
306,NCR_M69480,Rohini,Heatwave,0.43,Medium,11,456.61,32,1.3344,412.08,0.75,False,573.56,522.89,589.04,25.72,599.28,9.99
335,NCR_M89476,Lajpat Nagar,Clear,0.6,High,10,414.18,0,1.2791,401.86,0.75,False,476.71,461.46,514.85,18.0,494.71,8.25
304,NCR_M19458,Faridabad,Heatwave,0.74,Medium,10,305.76,0,1.3158,312.36,1.0,False,350.73,323.84,362.66,16.8,367.53,6.13
319,NCR_M66558,Lajpat Nagar,Heatwave,0.76,Low,9,386.4,0,1.7908,412.03,1.0,False,517.08,473.99,532.6,21.0,538.08,8.97
276,NCR_M77190,Faridabad,Rain,0.34,Medium,13,403.2,35,1.4694,388.5,0.75,False,539.24,503.3,560.81,12.65,551.89,9.2
321,NCR_M78954,Saket,Clear,0.47,Low,19,456.96,0,1.4583,487.6,1.0,False,551.83,525.34,581.26,2.3,554.13,9.24
113,NCR_M52996,Noida Sector 18,Smog,0.33,Medium,19,390.72,0,1.4248,404.05,1.0,False,466.38,448.19,498.25,12.9,479.28,7.99
318,NCR_M40758,Faridabad,Clear,0.39,High,12,451.4,0,1.1893,471.66,1.0,False,492.27,478.49,534.94,26.45,518.72,8.65
118,NCR_M9693,Dwarka,Clear,0.83,Low,18,333.61,0,1.4645,165.79,0.25,True,423.74,383.48,433.49,30.5,454.24,7.57
372,NCR_M45759,Noida Sector 18,Smog,0.9,Low,19,299.28,50,1.9535,341.46,1.0,False,488.18,471.58,525.61,18.77,506.95,8.45
337,NCR_M72410,Rohini,Clear,0.6,Low,11,411.14,17,1.3787,469.45,1.0,False,502.71,488.64,546.28,23.0,525.71,8.76
338,NCR_M71212,Faridabad,Clear,0.96,Medium,13,179.63,45,1.4601,85.42,0.25,True,282.21,254.46,288.13,38.53,320.74,5.35
349,NCR_M65698,Rohini,Clear,0.91,High,11,482.36,0,1.2768,500.41,1.0,False,545.05,530.87,594.1,26.0,571.05,9.52
366,NCR_M37066,Noida Sector 18,Clear,0.9,High,14,84.32,0,1.411,86.53,1.0,False,100.16,97.56,109.17,29.9,130.06,2.17
140,NCR_M92094,Rohini,Heatwave,0.8,Low,20,156.62,15,1.7347,186.78,1.0,False,226.04,207.95,233.27,21.74,247.78,4.13
413,NCR_M99300,Gurgaon CyberHub,Fog,0.92,High,14,190.3,0,1.6156,207.02,1.0,False,241.88,232.21,258.01,12.08,253.96,4.23
382,NCR_M32607,Dwarka,Clear,0.31,Medium,2,312.33,0,1.0985,147.38,0.25,True,346.09,321.29,358.9,13.0,359.09,5.98
143,NCR_M11535,Rohini,Clear,0.84,High,19,209.05,0,1.4123,238.42,1.0,False,248.44,239.24,266.24,14.95,263.39,4.39
383,NCR_M94664,Dwarka,Heatwave,0.43,Medium,20,391.05,0,1.5671,184.82,0.25,True,512.99,486.49,538.13,1.21,514.2,8.57
427,NCR_M40398,Saket,Rain,0.61,High,11,316.23,0,1.5024,361.93,1.0,False,387.61,378.7,424.43,33.55,421.16,7.02
386,NCR_M91388,Lajpat Nagar,Rain,0.79,High,20,388.31,0,1.8052,432.0,1.0,False,521.72,497.2,550.42,3.8,525.52,8.76
146,NCR_M1017,Connaught Place,Rain,0.44,High,15,79.68,0,1.4752,117.62,1.0,False,96.78,91.29,101.23,4.4,101.18,1.69
401,NCR_M89790,Connaught Place,Fog,0.77,High,14,256.88,20,1.6239,289.03,1.0,False,352.83,336.6,372.83,4.83,357.66,5.96
153,NCR_M55592,Noida Sector 18,Clear,0.65,Low,21,258.52,35,1.6368,308.64,1.0,False,375.52,351.74,391.29,9.2,384.72,6.41
460,NCR_M89813,Connaught Place,Smog,0.71,High,19,373.5,0,1.7672,384.69,1.0,False,496.52,457.62,512.9,19.94,516.46,8.61
157,NCR_M23248,Saket,Smog,0.67,Medium,16,252.88,0,1.2405,288.33,1.0,False,281.65,270.1,299.96,9.18,290.83,4.85
488,NCR_M24301,Saket,Clear,0.68,High,16,345.45,50,1.1861,346.45,1.0,False,430.68,411.3,455.8,5.0,435.68,7.26
154,NCR_M74066,Noida Sector 18,Clear,0.69,Low,19,425.36,0,1.6305,438.95,1.0,False,543.15,518.16,573.92,4.6,547.75,9.13
406,NCR_M82799,Faridabad,Clear,0.97,Medium,17,495.36,47,1.3082,505.82,1.0,False,620.33,607.31,681.33,33.5,653.83,10.9
493,NCR_M9269,Gurgaon CyberHub,Clear,0.41,Low,16,222.53,65,1.4358,245.73,1.0,False,344.53,314.1,353.83,24.5,369.03,6.15
495,NCR_M86808,Noida Sector 18,Clear,0.5,Low,21,371.28,17,1.6086,163.83,0.25,True,514.73,470.12,529.15,26.45,541.18,9.02
463,NCR_M12186,Dwarka,Smog,0.62,High,18,292.5,75,1.333,299.31,1.0,False,424.3,385.41,434.91,28.05,452.35,7.54
159,NCR_M63705,Rohini,Smog,0.83,Low,11,57.76,0,1.7168,38.31,0.25,True,79.15,72.02,81.2,26.52,105.67,1.76
515,NCR_M86780,Noida Sector 18,Rain,0.94,Medium,15,295.24,79,1.6717,334.84,1.0,False,483.87,469.84,525.0,23.65,507.52,8.46
165,NCR_M39100,Saket,Heatwave,0.49,Medium,12,397.1,17,1.4484,359.57,0.75,False,506.31,486.06,540.06,12.08,518.39,8.64
524,NCR_M8572,Saket,Rain,0.54,High,12,249.6,13,1.5245,264.11,1.0,False,324.23,296.13,333.31,29.09,353.32,5.89
473,NCR_M38045,Rohini,Fog,0.6,Low,20,431.3,0,1.7876,485.13,1.0,False,576.65,543.02,602.6,6.04,582.69,9.71
474,NCR_M51215,Gurgaon CyberHub,Heatwave,0.85,Low,19,414.09,55,1.8793,244.28,0.25,True,667.91,653.88,733.59,40.45,708.36,11.81
542,NCR_M61229,Noida Sector 18,Smog,0.32,Low,21,303.45,70,1.5811,324.4,1.0,False,469.58,455.03,507.93,22.29,491.87,8.2
448,NCR_M48985,Noida Sector 18,Clear,0.46,Medium,11,515.9,20,1.1884,500.66,0.75,False,594.52,570.74,634.16,10.0,604.52,10.08
564,NCR_M40775,Connaught Place,Rain,0.33,High,12,329.64,42,1.5061,312.56,0.75,False,462.68,425.67,477.49,22.77,485.45,8.09
567,NCR_M2569,Rohini,Clear,0.94,Low,19,218.79,23,1.7428,223.84,1.0,False,319.2,308.67,344.2,19.55,338.75,5.65
182,NCR_M62593,Rohini,Heatwave,0.41,Medium,0,135.3,30,1.1625,189.21,1.0,False,178.23,173.41,193.97,25.72,203.95,3.4
520,NCR_M67564,Saket,Clear,0.97,Medium,20,141.52,35,1.7021,142.07,1.0,False,230.3,223.85,250.26,26.45,256.75,4.28
186,NCR_M2696,Gurgaon CyberHub,Clear,0.58,Low,18,405.79,0,1.5578,445.6,1.0,False,506.47,490.77,547.84,19.0,525.47,8.76
507,NCR_M48191,Rohini,Clear,0.34,Medium,7,103.66,67,1.1686,113.31,1.0,False,184.49,166.96,188.73,30.5,214.99,3.58
490,NCR_M5259,Connaught Place,Heatwave,1.0,Low,15,288.04,15,2.019,329.55,1.0,False,430.59,391.84,441.79,27.3,457.89,7.63
548,NCR_M87539,Dwarka,Rain,0.95,Low,1,163.71,53,1.7307,177.17,1.0,False,285.1,272.84,302.68,7.7,292.8,4.88
511,NCR_M39505,Rohini,Clear,0.97,Low,12,368.55,77,1.6927,311.45,0.75,False,587.05,539.11,605.25,21.85,608.9,10.15
521,NCR_M33160,Noida Sector 18,Heatwave,0.44,Low,14,291.72,0,1.472,336.51,1.0,False,353.93,336.94,372.81,2.42,356.35,5.94
622,NCR_M13987,Rohini,Clear,0.83,High,15,236.43,0,1.2155,287.38,1.0,False,260.66,235.03,266.14,33.5,294.16,4.9
627,NCR_M61859,Saket,Smog,0.71,Low,14,454.58,0,1.4971,488.68,1.0,False,556.21,538.96,601.63,22.29,578.5,9.64
574,NCR_M12667,Gurgaon CyberHub,Smog,0.62,Medium,17,69.35,47,1.4666,91.41,1.0,False,140.9,127.52,144.14,31.11,172.01,2.87
661,NCR_M38661,Saket,Rain,0.63,Medium,3,324.0,38,1.4104,338.64,1.0,False,429.91,401.25,447.11,11.0,440.91,7.35
581,NCR_M3562,Dwarka,Clear,0.67,Low,11,438.06,15,1.3773,226.88,0.25,True,557.99,528.23,584.77,2.0,559.99,9.33
223,NCR_M26855,Faridabad,Clear,0.53,High,14,222.23,0,1.1312,204.43,0.75,False,240.8,217.12,245.86,38.53,279.33,4.66
228,NCR_M64506,Lajpat Nagar,Fog,0.43,High,18,567.42,87,1.4931,508.13,0.75,False,811.0,767.75,849.93,2.1,813.1,13.55
229,NCR_M52252,Faridabad,Fog,0.99,Low,3,438.96,0,1.7488,468.51,1.0,False,580.49,561.91,626.93,18.9,599.39,9.99
710,NCR_M22663,Dwarka,Clear,0.54,High,20,195.5,17,1.3153,238.85,1.0,False,243.71,225.43,252.24,17.25,260.96,4.35
230,NCR_M8393,Rohini,Heatwave,0.98,Medium,11,443.29,57,1.5678,444.75,1.0,False,626.42,591.97,655.86,3.15,629.57,10.49
742,NCR_M30536,Connaught Place,Clear,0.88,Medium,18,196.8,0,1.5521,207.43,1.0,False,245.18,237.82,265.61,20.0,265.18,4.42
239,NCR_M78604,Noida Sector 18,Rain,0.67,Medium,22,494.42,47,1.7495,339.26,0.25,True,745.79,721.93,805.46,22.77,768.56,12.81
242,NCR_M52257,Rohini,Fog,0.35,Low,11,223.6,85,1.4857,114.27,0.25,True,389.57,361.0,403.59,14.7,404.27,6.74
254,NCR_M89136,Lajpat Nagar,Heatwave,0.6,Low,10,372.4,0,1.6263,428.1,1.0,False,474.91,447.21,496.28,5.25,480.16,8.0
245,NCR_M35223,Faridabad,Clear,0.85,Low,9,185.6,0,1.3904,243.6,1.0,False,218.85,214.04,240.01,32.0,250.85,4.18
677,NCR_M77374,Saket,Clear,0.43,Low,19,435.24,20,1.5064,285.48,0.25,True,584.86,569.65,637.49,29.9,614.76,10.25
680,NCR_M79576,Rohini,Clear,0.62,Medium,23,120.75,25,1.1949,143.86,1.0,False,159.32,153.75,171.27,15.0,174.32,2.91
260,NCR_M96355,Rohini,Fog,0.85,High,22,548.59,0,1.4168,471.91,0.75,False,663.96,643.37,718.18,22.94,686.9,11.45
268,NCR_M84652,Connaught Place,Clear,1.0,Medium,13,87.72,48,1.8089,121.13,1.0,False,182.54,169.15,189.11,16.1,198.64,3.31
818,NCR_M63336,Saket,Smog,0.41,Medium,21,363.52,0,1.5163,221.31,0.25,True,469.44,423.28,479.3,39.3,508.74,8.48
672,NCR_M10966,Connaught Place,Smog,0.44,High,22,418.46,0,1.4068,424.29,1.0,False,496.33,469.86,520.15,2.35,498.68,8.31
725,NCR_M24539,Rohini,Fog,0.9,High,9,168.48,40,1.4626,227.88,1.0,False,252.13,243.81,271.88,17.85,269.98,4.5
678,NCR_M70593,Dwarka,Smog,0.61,Medium,21,279.93,0,1.6016,311.03,1.0,False,354.26,332.42,369.5,8.21,362.47,6.04
679,NCR_M98019,Noida Sector 18,Heatwave,0.69,High,3,453.87,55,1.3634,426.98,0.75,False,603.26,586.97,656.55,25.72,628.98,10.48
282,NCR_M8111,Rohini,Clear,0.41,High,19,405.92,50,1.2276,448.07,1.0,False,505.15,488.98,545.56,20.7,525.85,8.76
289,NCR_M79310,Noida Sector 18,Clear,0.76,High,20,448.2,15,1.3761,465.82,1.0,False,543.37,520.55,577.78,9.2,552.57,9.21
287,NCR_M27267,Faridabad,Clear,0.98,Medium,18,259.12,15,1.4501,247.18,0.75,False,335.28,306.78,345.0,21.5,356.78,5.95
761,NCR_M52993,Gurgaon CyberHub,Clear,0.96,Medium,18,397.85,0,1.5512,387.31,0.75,False,503.47,482.83,536.19,9.0,512.47,8.54
765,NCR_M82949,Lajpat Nagar,Clear,0.35,Medium,23,339.66,0,1.2652,369.75,1.0,False,382.05,367.15,408.16,11.0,393.05,6.55
698,NCR_M98807,Rohini,Clear,0.38,Medium,21,358.2,0,1.3317,330.8,0.75,False,420.52,392.49,437.35,11.5,432.02,7.2
295,NCR_M6911,Faridabad,Clear,0.78,Medium,23,334.75,0,1.2638,318.41,0.75,False,383.02,365.02,404.08,3.0,386.02,6.43
867,NCR_M90983,Connaught Place,Fog,0.36,Low,21,131.04,0,1.7618,113.25,0.75,False,176.55,172.32,193.03,35.02,211.57,3.53
773,NCR_M207,Noida Sector 18,Rain,0.64,High,13,320.58,20,1.7173,326.22,1.0,False,446.32,407.64,458.81,29.09,475.41,7.92
717,NCR_M87055,Dwarka,Rain,0.83,Medium,16,121.52,0,1.489,123.68,1.0,False,148.28,140.38,155.4,2.2,150.48,2.51
298,NCR_M87898,Faridabad,Clear,0.51,High,21,475.73,0,1.2444,508.29,1.0,False,530.69,511.05,568.72,14.95,545.64,9.09
301,NCR_M23420,Saket,Clear,0.85,High,12,417.69,0,1.3513,453.14,1.0,False,485.55,470.49,525.2,21.85,507.4,8.46
299,NCR_M50637,Noida Sector 18,Clear,0.31,High,19,125.24,15,1.2792,127.48,1.0,False,158.61,154.49,172.89,29.9,188.51,3.14
923,NCR_M50016,Lajpat Nagar,Heatwave,0.33,High,23,200.96,20,1.3796,174.52,0.75,False,263.55,257.75,289.03,33.6,297.15,4.95
749,NCR_M54269,Saket,Clear,0.68,Medium,9,396.73,27,1.2008,428.06,1.0,False,464.33,438.79,486.15,3.0,467.33,7.79
843,NCR_M87940,Gurgaon CyberHub,Clear,0.44,Low,20,193.64,47,1.6812,162.85,0.75,False,315.89,301.04,333.26,3.45,319.34,5.32
314,NCR_M18142,Rohini,Smog,0.37,Low,6,476.0,0,1.4759,481.12,1.0,False,578.28,556.3,618.76,12.24,590.52,9.84
317,NCR_M80357,Connaught Place,Smog,0.46,High,16,247.68,0,1.3777,279.56,1.0,False,290.72,284.61,319.3,34.17,324.89,5.41
750,NCR_M71911,Dwarka,Rain,0.84,High,17,198.4,0,1.4862,236.65,1.0,False,241.87,236.55,265.25,35.2,277.07,4.62
955,NCR_M56045,Connaught Place,Rain,0.6,Medium,11,125.61,0,1.5929,123.78,0.75,False,161.04,147.36,165.72,23.65,184.69,3.08
768,NCR_M67215,Rohini,Clear,0.55,Medium,14,347.32,0,1.2544,366.7,1.0,False,389.0,353.99,399.11,29.9,418.9,6.98
333,NCR_M33828,Noida Sector 18,Smog,0.71,Low,11,151.5,25,1.4476,129.0,0.75,False,215.39,204.83,226.52,1.02,216.41,3.61
988,NCR_M55821,Connaught Place,Fog,0.69,Medium,14,232.8,20,1.5706,237.51,1.0,False,316.82,290.42,326.32,24.15,340.97,5.68
339,NCR_M62624,Faridabad,Heatwave,0.97,Low,10,352.8,17,1.6592,410.56,1.0,False,476.34,450.93,499.2,2.1,478.44,7.97
887,NCR_M81735,Dwarka,Heatwave,0.53,High,17,560.0,69,1.2079,522.05,0.75,False,702.5,667.37,737.62,0.0,702.5,11.71
334,NCR_M75451,Lajpat Nagar,Clear,0.7,High,19,344.35,0,1.5849,354.75,1.0,False,433.51,409.67,453.89,3.45,436.96,7.28
900,NCR_M93427,Gurgaon CyberHub,Fog,0.86,Medium,21,405.95,0,1.707,420.96,1.0,False,530.38,511.82,570.16,18.11,548.49,9.14
994,NCR_M22300,Saket,Clear,0.74,Medium,0,418.2,13,1.208,461.08,1.0,False,473.93,461.13,515.79,24.5,498.43,8.31
788,NCR_M43586,Faridabad,Heatwave,0.68,High,15,203.81,15,1.2047,220.61,1.0,False,240.16,223.75,249.53,11.55,251.71,4.2
904,NCR_M64045,Saket,Clear,0.36,Medium,19,392.69,25,1.3119,244.01,0.25,True,501.98,480.39,532.93,8.05,510.03,8.5
1017,NCR_M42558,Connaught Place,Clear,0.91,Medium,9,184.73,0,1.5725,221.43,1.0,False,231.65,216.59,241.15,9.0,240.65,4.01
351,NCR_M49081,Noida Sector 18,Clear,0.45,Medium,21,157.78,0,1.3683,172.64,1.0,False,184.56,174.72,193.42,2.3,186.86,3.11
353,NCR_M2694,Noida Sector 18,Smog,0.47,High,7,361.0,0,1.3298,406.47,1.0,False,416.29,378.83,427.12,26.52,442.81,7.38
347,NCR_M95004,Dwarka,Clear,0.63,High,12,572.0,35,1.2101,578.96,1.0,False,667.73,641.02,712.24,11.5,679.23,11.32
936,NCR_M95260,Connaught Place,Smog,0.54,High,21,301.25,0,1.4191,303.69,1.0,False,358.87,349.9,391.76,32.26,391.13,6.52
953,NCR_M69164,Connaught Place,Clear,0.6,Medium,23,676.14,0,1.2838,631.31,0.75,False,779.62,754.67,841.99,18.0,797.62,13.29
822,NCR_M25940,Dwarka,Clear,0.79,Medium,14,140.4,15,1.3779,146.27,1.0,False,182.41,176.94,197.62,23.0,205.41,3.42
1045,NCR_M48926,Lajpat Nagar,Smog,0.33,Low,13,421.2,0,1.7646,449.61,1.0,False,559.51,548.32,615.47,41.06,600.57,10.01
1063,NCR_M42942,Lajpat Nagar,Smog,0.36,Medium,21,361.92,65,1.6075,387.95,1.0,False,541.28,510.61,566.18,4.69,545.97,9.1
847,NCR_M21835,Faridabad,Heatwave,0.9,Low,20,303.0,0,1.9064,339.95,1.0,False,418.36,397.44,439.28,0.0,418.36,6.97
388,NCR_M18048,Rohini,Fog,0.36,Low,23,115.62,69,1.5096,118.34,1.0,False,226.83,213.22,236.82,6.3,233.13,3.89
1080,NCR_M26106,Faridabad,Clear,0.9,Low,0,359.68,25,1.4464,397.23,1.0,False,462.64,452.46,507.36,32.0,494.64,8.24
393,NCR_M75767,Lajpat Nagar,Clear,0.71,Medium,12,222.72,65,1.5206,274.11,1.0,False,354.8,329.37,367.92,14.95,369.75,6.16
1002,NCR_M15708,Lajpat Nagar,Clear,0.7,Low,11,135.42,20,1.5277,145.2,1.0,False,192.1,186.72,208.75,23.0,215.1,3.58
391,NCR_M21977,Faridabad,Heatwave,0.74,High,10,114.13,0,1.2814,152.68,1.0,False,129.19,124.41,138.45,13.65,142.84,2.38
1104,NCR_M44263,Faridabad,Clear,0.56,Medium,11,382.36,17,1.1437,417.51,1.0,False,427.09,390.79,439.48,21.5,448.59,7.48
872,NCR_M23777,Saket,Clear,0.95,Medium,9,339.76,0,1.4579,194.56,0.25,True,430.62,419.43,469.38,26.0,456.62,7.61
1107,NCR_M30081,Connaught Place,Smog,0.84,Medium,12,194.81,20,1.8029,233.41,1.0,False,288.43,280.07,312.95,25.22,313.65,5.23
